character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Isle of Conquest played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Isle of Conquest won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Arathi Basin Comp Stomp played,Korrak's Revenge played,Arathi Basin Comp Stomp won,Korrak's Revenge won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
90960630,Marc,kaelthas,14.0,29953.0,43.0,51.0,0.0,50.0,44.0,0.0,,33.0,40.0,0.0,60.0,,35.0,37.0,4.0,2.0,9.0,4.0,,3.0,5.0,1.0,5.0,,15.0,19.0,0.0,1.0,4.0,0.0,,1.0,2.0,0.0,3.0,,37.0,42.0,55.0,53.0,59.0,48.0,56.0,32.0,22.0,20.0,31.0,17.0,,0.0,,,2.0,,,0.0,,,,,,,,,,,,,
90815575,Zimbra,kaelthas,2.0,183.0,100.0,,,50.0,,0.0,,,0.0,,,,1.0,,,2.0,,2.0,,,1.0,,,,1.0,,,1.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144626733,Armypâle,dalaran,55.0,1371.0,,67.0,0.0,25.0,25.0,14.0,33.0,50.0,,100.0,0.0,,,3.0,3.0,4.0,4.0,7.0,6.0,10.0,,2.0,1.0,,,2.0,0.0,1.0,1.0,1.0,2.0,5.0,,2.0,0.0,,22.0,100.0,,0.0,9.0,1.0,,1.0,2.0,1.0,,0.0,50.0,0.0,,2.0,1.0,,1.0,0.0,,,,,,,,,,,,,
131853206,Oacab,kaelthas,4.0,2933.0,,,0.0,,,,,,100.0,50.0,,,,,1.0,,,,,,1.0,2.0,,,,,0.0,,,,,,1.0,1.0,,,,,,0.0,,,,1.0,,,,0.0,,,100.0,,,1.0,,,1.0,,78.0,,9.0,,7.0,,,,100.0,1.0,1.0
187262237,Palarez,silvermoon,3.0,717.0,,0.0,100.0,40.0,0.0,33.0,,,100.0,33.0,,100.0,,2.0,3.0,5.0,1.0,3.0,,,1.0,3.0,,1.0,,0.0,3.0,2.0,0.0,1.0,,,1.0,1.0,,1.0,,,,100.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
107927971,Igory,kaelthas,47.0,47535.0,33.0,56.0,43.0,49.0,47.0,43.0,38.0,46.0,38.0,22.0,100.0,,39.0,102.0,221.0,193.0,236.0,207.0,149.0,37.0,8.0,9.0,1.0,,13.0,57.0,96.0,95.0,110.0,90.0,57.0,17.0,3.0,2.0,1.0,,39.0,47.0,47.0,37.0,260.0,242.0,72.0,59.0,102.0,114.0,34.0,22.0,,0.0,,,3.0,,,0.0,,100.0,,4.0,,4.0,,,,,,,
123519101,Lanceloth,draenor,13.0,1229.0,,67.0,25.0,100.0,75.0,100.0,,50.0,100.0,100.0,,33.0,,6.0,4.0,2.0,4.0,2.0,,4.0,2.0,2.0,,3.0,,4.0,1.0,2.0,3.0,2.0,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147544743,Lusimusi,rajaxx,48.0,20033.0,52.0,66.0,39.0,58.0,59.0,58.0,12.0,63.0,54.0,38.0,45.0,60.0,29.0,29.0,28.0,24.0,32.0,43.0,8.0,30.0,24.0,26.0,22.0,30.0,15.0,19.0,11.0,14.0,19.0,25.0,1.0,19.0,13.0,10.0,10.0,18.0,33.0,100.0,0.0,68.0,3.0,1.0,2.0,28.0,1.0,1.0,0.0,19.0,56.0,56.0,100.0,9.0,9.0,2.0,5.0,5.0,2.0,,71.0,,7.0,,5.0,,,,50.0,2.0,1.0
174684116,Melitith,dalaran,27.0,7830.0,8.0,42.0,62.0,55.0,37.0,52.0,47.0,44.0,71.0,25.0,50.0,50.0,12.0,24.0,21.0,33.0,30.0,23.0,15.0,16.0,14.0,4.0,2.0,4.0,1.0,10.0,13.0,18.0,11.0,12.0,7.0,7.0,10.0,1.0,1.0,2.0,32.0,50.0,42.0,8.0,19.0,16.0,12.0,13.0,6.0,8.0,5.0,1.0,,,,,,,,,,100.0,,1.0,,1.0,,,,,,,
71117116,Zecesption,blackmoore,31.0,5715.0,58.0,29.0,22.0,50.0,64.0,75.0,100.0,100.0,50.0,100.0,,0.0,12.0,21.0,9.0,4.0,11.0,4.0,2.0,2.0,2.0,1.0,,2.0,7.0,6.0,2.0,2.0,7.0,3.0,2.0,2.0,1.0,1.0,,0.0,47.0,20.0,58.0,62.0,17.0,15.0,12.0,13.0,8.0,3.0,7.0,8.0,,,,,,,,,,,,,,,,,,,,,
