character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Ashran win_rate,Deepwind Gorge win_rate,Ashran played,Deepwind Gorge played,Ashran won,Deepwind Gorge won,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Arathi Basin Winter played,Cooking: Impossible played,Arathi Basin Winter won,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
171846942,Thorstern,silvermoon,83.0,16742.0,70.0,47.0,55.0,38.0,47.0,67.0,41.0,45.0,42.0,,60.0,53.0,133.0,67.0,62.0,100.0,,,10.0,57.0,38.0,40.0,15.0,3.0,59.0,65.0,60.0,,62.0,30.0,27.0,6.0,13.0,1.0,,,7.0,27.0,21.0,15.0,7.0,2.0,24.0,29.0,25.0,,37.0,16.0,36.0,4.0,8.0,1.0,,,,100.0,,1.0,,1.0,,,,,,,,,
120746768,Leöson,ravencrest,13.0,1073.0,50.0,,,50.0,,0.0,75.0,80.0,,,75.0,,,50.0,25.0,,,,2.0,,,2.0,,1.0,4.0,5.0,,,4.0,,,2.0,4.0,,,,1.0,,,1.0,,0.0,3.0,4.0,,,3.0,,,1.0,1.0,,,,,50.0,,2.0,,1.0,,,,,,,,,
175169023,Артипал,azuregos,21.0,1122.0,,50.0,,,0.0,,62.0,100.0,100.0,,50.0,,,,,,,,,2.0,,,1.0,,8.0,3.0,2.0,,2.0,,,,,,,,,1.0,,,0.0,,5.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
154745985,Inkeipan,antonidas,13.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,,,,
132411945,Zyraxx,blackmoore,121.0,108130.0,52.0,44.0,48.0,43.0,60.0,46.0,50.0,56.0,57.0,,54.0,52.0,46.0,33.0,44.0,22.0,100.0,,316.0,469.0,311.0,266.0,141.0,163.0,276.0,184.0,299.0,,215.0,178.0,130.0,63.0,54.0,9.0,34.0,,165.0,206.0,150.0,115.0,85.0,75.0,139.0,103.0,169.0,,117.0,92.0,60.0,21.0,24.0,2.0,34.0,,,41.0,,22.0,,9.0,,,,,,,,,
171660106,Legx,darkspear,37.0,5300.0,,54.0,17.0,33.0,20.0,25.0,50.0,67.0,46.0,50.0,59.0,33.0,60.0,80.0,0.0,0.0,,,,13.0,6.0,12.0,5.0,8.0,6.0,12.0,13.0,2.0,17.0,12.0,5.0,5.0,1.0,2.0,,,,7.0,1.0,4.0,1.0,2.0,3.0,8.0,6.0,1.0,10.0,4.0,3.0,4.0,0.0,0.0,,,0.0,40.0,1.0,5.0,0.0,2.0,100.0,,1.0,,1.0,,,,
188927309,Boxarbengan,outland,13.0,677.0,,,,0.0,,,25.0,50.0,100.0,,,,50.0,0.0,,,,,,,,1.0,,,4.0,2.0,2.0,,,,2.0,3.0,,,,,,,,0.0,,,1.0,1.0,2.0,,,,1.0,0.0,,,,,,33.0,,3.0,,1.0,,,,,,,,,
175582296,Vongengys,hyjal,44.0,89695.0,63.0,62.0,61.0,58.0,53.0,62.0,57.0,50.0,74.0,,52.0,46.0,50.0,60.0,83.0,90.0,100.0,60.0,217.0,423.0,316.0,219.0,267.0,101.0,143.0,40.0,117.0,,50.0,24.0,24.0,10.0,6.0,21.0,4.0,10.0,136.0,262.0,194.0,128.0,141.0,63.0,81.0,20.0,87.0,,26.0,11.0,12.0,6.0,5.0,19.0,4.0,6.0,,0.0,,2.0,,0.0,0.0,,2.0,,0.0,,,,
195921039,Vilgford,hyjal,33.0,3061.0,,30.0,42.0,67.0,0.0,,32.0,25.0,38.0,,36.0,56.0,33.0,33.0,75.0,,,,,23.0,12.0,6.0,1.0,,25.0,20.0,16.0,,22.0,9.0,3.0,3.0,4.0,,,,,7.0,5.0,4.0,0.0,,8.0,5.0,6.0,,8.0,5.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,
192681831,Темиус,eversong,42.0,13459.0,44.0,,,45.0,,67.0,73.0,50.0,69.0,,79.0,100.0,44.0,62.0,75.0,54.0,100.0,0.0,16.0,,,20.0,,12.0,15.0,12.0,13.0,,19.0,1.0,16.0,13.0,12.0,13.0,1.0,1.0,7.0,,,9.0,,8.0,11.0,6.0,9.0,,15.0,1.0,7.0,8.0,9.0,7.0,1.0,0.0,27.0,67.0,11.0,6.0,3.0,4.0,33.0,,6.0,,2.0,,,,
