character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Isle of Conquest win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Isle of Conquest played,Temple of Kotmogu played,Ashran played,Seething Shore played,Battle for Wintergrasp played,Alterac Valley won,Isle of Conquest won,Temple of Kotmogu won,Ashran won,Seething Shore won,Battle for Wintergrasp won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Deepwind Gorge (Legacy) win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Deepwind Gorge (Legacy) played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Deepwind Gorge (Legacy) won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Strand of the Ancients win_rate,Strand of the Ancients played,Strand of the Ancients won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Arathi Basin Winter win_rate,Rated Eye of the Storm played,Arathi Basin Winter played,Rated Eye of the Storm won,Arathi Basin Winter won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
118093341,Indrial,draenor,23.0,56398.0,46.0,38.0,59.0,100.0,60.0,62.0,99.0,37.0,32.0,2.0,5.0,8.0,46.0,14.0,19.0,2.0,3.0,5.0,49.0,52.0,56.0,44.0,70.0,53.0,38.0,38.0,67.0,25.0,57.0,122.0,41.0,32.0,30.0,32.0,13.0,8.0,6.0,4.0,28.0,64.0,23.0,14.0,21.0,17.0,5.0,3.0,4.0,1.0,50.0,6.0,3.0,46.0,54.0,25.0,100.0,1.0,1.0,,100.0,,1.0,,1.0,,,,,,
146770691,Khârzul,guldan,33.0,693.0,100.0,,100.0,,100.0,100.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,100.0,,100.0,,67.0,50.0,0.0,,,,1.0,,1.0,,3.0,2.0,1.0,,,,1.0,,1.0,,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
122174118,Dalt,anachronos,18.0,7701.0,43.0,53.0,50.0,100.0,50.0,80.0,14.0,15.0,6.0,1.0,4.0,5.0,6.0,8.0,3.0,1.0,2.0,4.0,33.0,30.0,27.0,50.0,20.0,50.0,20.0,67.0,50.0,50.0,6.0,10.0,15.0,6.0,10.0,6.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,,,,36.0,11.0,4.0,,,,,,,,,,,,,,,
177430561,Araks,alakir,38.0,270.0,,50.0,100.0,,,0.0,,2.0,1.0,,,1.0,,1.0,1.0,,,0.0,,,100.0,,,100.0,,,0.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,
94240915,Mortymuerte,kelthuzad,25.0,3388.0,71.0,33.0,56.0,50.0,83.0,40.0,7.0,12.0,9.0,2.0,6.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,60.0,100.0,75.0,50.0,50.0,67.0,60.0,100.0,,,5.0,1.0,4.0,6.0,4.0,6.0,5.0,2.0,,,3.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,,,100.0,4.0,4.0,,,,100.0,1.0,1.0,,100.0,,1.0,,1.0,,,,,,
189715240,Selepie,frostmane,13.0,5057.0,60.0,75.0,67.0,0.0,200.0,33.0,5.0,4.0,9.0,1.0,1.0,3.0,3.0,3.0,6.0,0.0,2.0,1.0,58.0,50.0,71.0,33.0,27.0,62.0,43.0,100.0,,100.0,19.0,16.0,7.0,6.0,11.0,16.0,7.0,2.0,,1.0,11.0,8.0,5.0,2.0,3.0,10.0,3.0,2.0,,1.0,,,,80.0,10.0,8.0,,,,500.0,,1.0,,5.0,,,,,,,
159568227,Frutolina,ravencrest,15.0,1114.0,,,29.0,,,0.0,,,7.0,,,1.0,,,2.0,,,0.0,50.0,50.0,0.0,0.0,100.0,100.0,57.0,,,,2.0,2.0,4.0,1.0,1.0,1.0,7.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,4.0,,,,,,,0.0,2.0,0.0,,,,,,,,,,,,,,,
151484032,Amagon,gilneas,5.0,309.0,,0.0,,,,,,1.0,,,,,,0.0,,,,,,,,,,0.0,,50.0,100.0,,,,,,,1.0,,2.0,1.0,,,,,,,0.0,,1.0,1.0,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
197150503,Shìrudo,pozzo-delleternità,16.0,396.0,,,0.0,0.0,,100.0,,,1.0,1.0,,1.0,,,0.0,0.0,,1.0,,,,100.0,,,,,50.0,,,,,1.0,,,,,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,100.0,,1.0,,1.0,,,,,,
154569909,Jarasan,ravencrest,12.0,2187.0,50.0,67.0,100.0,29.0,,50.0,12.0,6.0,2.0,7.0,,6.0,6.0,4.0,2.0,2.0,,3.0,,,0.0,0.0,100.0,33.0,,100.0,67.0,33.0,,,1.0,1.0,1.0,3.0,,3.0,3.0,3.0,,,0.0,0.0,1.0,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
16312533,Narutosensei,uldaman,33.0,27603.0,71.0,38.0,70.0,20.0,75.0,43.0,90.0,39.0,10.0,5.0,4.0,14.0,64.0,15.0,7.0,1.0,3.0,6.0,40.0,39.0,33.0,38.0,11.0,30.0,,40.0,50.0,17.0,80.0,70.0,60.0,34.0,9.0,33.0,,10.0,2.0,6.0,32.0,27.0,20.0,13.0,1.0,10.0,,4.0,1.0,1.0,,,,48.0,58.0,28.0,,,,,22.0,,9.0,,2.0,,,,,,
206855563,Perissia,runetotem,8.0,1063.0,0.0,0.0,0.0,,,,4.0,6.0,3.0,,,,0.0,0.0,0.0,,,,50.0,50.0,50.0,,50.0,100.0,20.0,,,,2.0,2.0,6.0,,2.0,1.0,5.0,,,,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,60.0,5.0,3.0,,,,,,,,,,,,,,,
175047923,Heathclîff,terokkar,50.0,10086.0,79.0,62.0,63.0,50.0,67.0,40.0,19.0,21.0,35.0,2.0,3.0,5.0,15.0,13.0,22.0,1.0,2.0,2.0,65.0,72.0,46.0,54.0,61.0,67.0,72.0,60.0,50.0,50.0,23.0,25.0,13.0,13.0,28.0,24.0,25.0,5.0,2.0,2.0,15.0,18.0,6.0,7.0,17.0,16.0,18.0,3.0,1.0,1.0,,,,16.0,19.0,3.0,100.0,4.0,4.0,,,,,,,,,,100.0,2.0,2.0
181218016,Дагренус,azuregos,18.0,1519.0,,100.0,50.0,,,0.0,,3.0,4.0,,,2.0,,3.0,2.0,,,0.0,100.0,80.0,60.0,50.0,50.0,83.0,100.0,,100.0,100.0,3.0,5.0,5.0,6.0,4.0,6.0,3.0,,2.0,2.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
