character.id,character.name,character.realm.slug,honor_level,honorable_kills,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Deepwind Gorge win_rate,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Deepwind Gorge played,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Silvershard Mines played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Silvershard Mines won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Korrak's Revenge win_rate,Cooking: Impossible played,Korrak's Revenge played,Cooking: Impossible won,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
163826053,Stîfflersdad,dun-morogh,10.0,751.0,75.0,100.0,50.0,40.0,20.0,,0.0,,,0.0,4.0,2.0,2.0,5.0,5.0,,1.0,,,1.0,3.0,2.0,1.0,2.0,1.0,,0.0,,,0.0,0.0,20.0,0.0,100.0,40.0,33.0,,1.0,5.0,1.0,2.0,5.0,3.0,,0.0,1.0,0.0,2.0,2.0,1.0,,0.0,1.0,0.0,,,,,,,,,,,,,,,
196947198,Projecttank,frostmane,18.0,146.0,100.0,,,,0.0,,,,0.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158143721,Lastknight,argent-dawn,18.0,1233.0,100.0,,0.0,50.0,,0.0,50.0,100.0,0.0,0.0,2.0,,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,2.0,,0.0,1.0,,0.0,1.0,1.0,0.0,0.0,100.0,,,,50.0,,100.0,1.0,,,,2.0,,1.0,1.0,,,,1.0,,1.0,,,,,25.0,,4.0,,1.0,100.0,3.0,3.0,100.0,1.0,1.0,,,
197279221,Jgts,silvermoon,2.0,6362.0,70.0,433.0,,,,,,,,,10.0,3.0,,,,,,,,,7.0,13.0,,,,,,,,,64.0,27.0,40.0,57.0,,,,59.0,11.0,10.0,14.0,,,,38.0,3.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,
155603007,Purintha,hellscream,10.0,43.0,,,,100.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136141615,Benhelsing,bronze-dragonflight,12.0,1256.0,,100.0,0.0,50.0,67.0,,,100.0,0.0,100.0,,2.0,1.0,2.0,3.0,,,1.0,1.0,1.0,,2.0,0.0,1.0,2.0,,,1.0,0.0,1.0,100.0,50.0,100.0,,,100.0,,1.0,2.0,2.0,,,1.0,,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
153433436,Dartrilas,magtheridon,18.0,2030.0,57.0,50.0,33.0,60.0,33.0,0.0,50.0,67.0,25.0,50.0,7.0,2.0,3.0,5.0,3.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,67.0,0.0,,100.0,100.0,,67.0,3.0,1.0,,1.0,1.0,,3.0,2.0,0.0,,1.0,1.0,,2.0,,,,,0.0,,1.0,,0.0,100.0,2.0,2.0,,,,,,
154725987,Xoraz,bronze-dragonflight,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
177256871,Norlean,ragnaros,75.0,2358.0,54.0,100.0,67.0,67.0,57.0,100.0,43.0,20.0,75.0,60.0,13.0,1.0,3.0,3.0,7.0,2.0,7.0,5.0,8.0,5.0,7.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,6.0,3.0,50.0,,,,44.0,,0.0,2.0,,,,9.0,,1.0,1.0,,,,4.0,,0.0,,,,,,,,,,100.0,1.0,1.0,,,,,,
144711132,Palahuntray,quelthalas,4.0,512.0,0.0,,0.0,,100.0,,,,,,2.0,,1.0,,2.0,,,,,,0.0,,0.0,,2.0,,,,,,33.0,67.0,0.0,,0.0,100.0,0.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,2.0,0.0,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
