character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Arathi Basin win_rate,Rated Eye of the Storm played,Arathi Basin played,Rated Eye of the Storm won,Arathi Basin won,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Korrak's Revenge win_rate,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Korrak's Revenge played,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
177544791,Mottek,aegwynn,6.0,1204.0,0.0,,,0.0,,100.0,83.0,67.0,50.0,,,75.0,60.0,100.0,0.0,1.0,,,1.0,,1.0,6.0,3.0,2.0,,,4.0,5.0,1.0,3.0,0.0,,,0.0,,1.0,5.0,2.0,1.0,,,3.0,3.0,1.0,0.0,,80.0,,5.0,,4.0,,,,,,,,,,,,,,,,,,
126136509,Quetimporta,dun-morogh,17.0,4554.0,31.0,,,57.0,50.0,60.0,40.0,83.0,50.0,50.0,60.0,75.0,57.0,69.0,60.0,13.0,,,7.0,12.0,5.0,10.0,6.0,4.0,2.0,5.0,4.0,7.0,16.0,5.0,4.0,,,4.0,6.0,3.0,4.0,5.0,2.0,1.0,3.0,3.0,4.0,11.0,3.0,100.0,75.0,1.0,4.0,1.0,3.0,,,70.0,,,10.0,,,7.0,,,,,,,,,
158800197,Phyrestion,antonidas,5.0,3679.0,100.0,75.0,50.0,0.0,,,,,,,,,,,,3.0,4.0,4.0,1.0,,,,,,,,,,,,3.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,38.0,100.0,,8.0,1.0,,3.0,1.0,,,,,,,,,,
149483818,Gorwan,der-rat-von-dalaran,4.0,10399.0,76.0,58.0,57.0,44.0,64.0,63.0,27.0,59.0,40.0,,,,,33.0,100.0,17.0,26.0,28.0,27.0,25.0,19.0,11.0,17.0,5.0,,,,,3.0,1.0,13.0,15.0,16.0,12.0,16.0,12.0,3.0,10.0,2.0,,,,,1.0,1.0,,,,,,,67.0,,,24.0,,,16.0,,,,,,100.0,1.0,1.0,,,
192906530,Azhdaro,hyjal,4.0,893.0,,62.0,100.0,100.0,100.0,,,,,0.0,,,,,,,8.0,1.0,1.0,3.0,,,,,1.0,,,,,,,5.0,1.0,1.0,3.0,,,,,0.0,,,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,,,,
149526500,Lêopold,blackmoore,2.0,390.0,,,,,50.0,,,,,50.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196658943,Dewenn,archimonde,6.0,1193.0,25.0,,,0.0,50.0,,40.0,,0.0,33.0,50.0,,50.0,33.0,100.0,4.0,,,1.0,2.0,,5.0,,1.0,3.0,2.0,,2.0,3.0,1.0,1.0,,,0.0,1.0,,2.0,,0.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
90582711,Nerfsalot,blackhand,7.0,1102.0,50.0,,,100.0,50.0,100.0,33.0,50.0,100.0,67.0,100.0,0.0,50.0,100.0,,2.0,,,1.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,,,50.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,
156295926,Tenkadin,ravencrest,4.0,38.0,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
83486716,Mó,zirkel-des-cenarius,7.0,4440.0,50.0,,44.0,,,,,50.0,100.0,,,,,,,10.0,,9.0,,,,,2.0,1.0,,,,,,,5.0,,4.0,,,,,1.0,1.0,,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,,,,
161040367,Angelos,der-rat-von-dalaran,20.0,5041.0,67.0,71.0,45.0,18.0,100.0,60.0,50.0,12.0,22.0,,,,40.0,100.0,100.0,76.0,7.0,11.0,11.0,8.0,5.0,4.0,8.0,9.0,,,,5.0,2.0,1.0,51.0,5.0,5.0,2.0,8.0,3.0,2.0,1.0,2.0,,,,2.0,2.0,1.0,,100.0,,3.0,,3.0,29.0,50.0,,7.0,14.0,,2.0,7.0,,,,,,,,,,
119993600,Wreyza,zirkel-des-cenarius,3.0,318.0,,50.0,,,,100.0,,0.0,50.0,,,75.0,100.0,,,,2.0,,,,1.0,,2.0,2.0,,,4.0,1.0,,,,1.0,,,,1.0,,0.0,1.0,,,3.0,1.0,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
102369173,Dagal,zirkel-des-cenarius,7.0,1627.0,100.0,,100.0,75.0,50.0,100.0,50.0,100.0,50.0,,,,,,,1.0,,1.0,4.0,2.0,1.0,2.0,2.0,2.0,,,,,,,1.0,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,
148707123,Blade,die-arguswacht,4.0,378.0,100.0,,,,100.0,,50.0,,,,,50.0,,100.0,100.0,1.0,,,,1.0,,2.0,,,,,2.0,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
150398547,Globoss,der-rat-von-dalaran,7.0,6855.0,43.0,41.0,33.0,47.0,33.0,,50.0,,100.0,,,,,,,7.0,29.0,15.0,15.0,3.0,,2.0,,1.0,,,,,,,3.0,12.0,5.0,7.0,1.0,,1.0,,1.0,,,,,,,,,,,,,22.0,,,9.0,,,2.0,,,,,,,,,,,
195735903,Stiffliff,silvermoon,4.0,341.0,,,,0.0,,0.0,50.0,,100.0,,,0.0,100.0,,0.0,,,,1.0,,1.0,2.0,,1.0,,,1.0,2.0,,1.0,,,,0.0,,0.0,1.0,,1.0,,,0.0,2.0,,0.0,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,
37751638,Wühlér,todeswache,47.0,78960.0,66.0,60.0,61.0,61.0,55.0,45.0,43.0,57.0,25.0,20.0,,0.0,,67.0,100.0,99.0,245.0,197.0,150.0,114.0,44.0,7.0,35.0,12.0,5.0,,1.0,,3.0,3.0,65.0,148.0,121.0,92.0,63.0,20.0,3.0,20.0,3.0,1.0,,0.0,,2.0,3.0,,,,,,,67.0,30.0,,201.0,10.0,,134.0,3.0,,,,,,,,,,
142605589,Spôrki,malygos,10.0,1970.0,100.0,,,33.0,60.0,50.0,0.0,75.0,50.0,60.0,,0.0,33.0,100.0,33.0,2.0,,,3.0,5.0,2.0,1.0,4.0,4.0,5.0,,1.0,3.0,1.0,3.0,2.0,,,1.0,3.0,1.0,0.0,3.0,2.0,3.0,,0.0,1.0,1.0,1.0,,0.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,
150752024,Raxus,amanthul,2.0,6433.0,53.0,65.0,44.0,59.0,45.0,47.0,27.0,77.0,38.0,,,,,,,15.0,46.0,16.0,17.0,20.0,19.0,11.0,13.0,13.0,,,,,,,8.0,30.0,7.0,10.0,9.0,9.0,3.0,10.0,5.0,,,,,,,,,,,,,62.0,40.0,,8.0,5.0,,5.0,2.0,,,,,,,,,,
