character.id,character.name,character.realm.slug,honor_level,honorable_kills,Eye of the Storm win_rate,Isle of Conquest win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Deepwind Gorge win_rate,Eye of the Storm played,Isle of Conquest played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Deepwind Gorge played,Eye of the Storm won,Isle of Conquest won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Deepwind Gorge won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Twin Peaks played,Silvershard Mines played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Twin Peaks won,Silvershard Mines won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Arathi Basin Winter win_rate,Arathi Basin win_rate,Arathi Basin Winter played,Arathi Basin played,Arathi Basin Winter won,Arathi Basin won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
165211601,Paladiem,the-shatar,6.0,1230.0,,0.0,,100.0,50.0,0.0,67.0,100.0,25.0,,2.0,,1.0,2.0,2.0,3.0,3.0,4.0,,0.0,,1.0,1.0,0.0,2.0,3.0,1.0,50.0,,,,,0.0,,50.0,4.0,,,,,2.0,,4.0,2.0,,,,,0.0,,2.0,,100.0,,1.0,,1.0,,,,,,,,,,,,
63277357,Yippiekiyay,aggramar,16.0,5613.0,,,,,50.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,45.0,,,0.0,50.0,100.0,0.0,,20.0,,,1.0,2.0,1.0,1.0,,9.0,,,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
245648255,Хлопушкина,soulflayer,5.0,233.0,,,67.0,,0.0,,0.0,,,,,3.0,,1.0,,1.0,,,,,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
16134093,Анддрюха,azuregos,1.0,924.0,50.0,,,,100.0,,,,,2.0,,,,1.0,,,,,1.0,,,,1.0,,,,,0.0,,50.0,,,25.0,,,1.0,,2.0,,,4.0,,,0.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
121109483,Инфрагилис,fordragon,30.0,2805.0,,60.0,33.0,,75.0,0.0,0.0,100.0,100.0,,5.0,3.0,,4.0,1.0,1.0,1.0,1.0,,3.0,1.0,,3.0,0.0,0.0,1.0,1.0,75.0,0.0,0.0,,25.0,0.0,0.0,80.0,4.0,1.0,1.0,,4.0,3.0,1.0,5.0,3.0,0.0,0.0,,1.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,
145144768,Mully,dalaran,32.0,20957.0,35.0,85.0,58.0,,38.0,67.0,,0.0,,23.0,13.0,24.0,,26.0,3.0,,2.0,,8.0,11.0,14.0,,10.0,2.0,,0.0,,54.0,50.0,43.0,33.0,45.0,48.0,33.0,50.0,26.0,16.0,23.0,12.0,11.0,31.0,9.0,2.0,14.0,8.0,10.0,4.0,5.0,15.0,3.0,1.0,100.0,100.0,1.0,1.0,1.0,1.0,100.0,14.0,14.0,,,,,,,,,
174509571,Kethmil,dun-modr,7.0,382.0,0.0,100.0,,,,,,0.0,,1.0,1.0,,,,,,1.0,,0.0,1.0,,,,,,0.0,,33.0,,,,,,,100.0,3.0,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
201516298,Пчёлочка,goldrinn,52.0,497.0,50.0,33.0,,,67.0,,,100.0,,2.0,3.0,,,3.0,,,1.0,,1.0,1.0,,,2.0,,,1.0,,100.0,,,,0.0,100.0,,,2.0,,,,1.0,1.0,,,2.0,,,,0.0,1.0,,,,33.0,,3.0,,1.0,,,,,,,,,,,,
229983067,Снижд,gordunni,12.0,129.0,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126062135,Forvaine,scarshield-legion,37.0,4004.0,17.0,50.0,65.0,,65.0,50.0,100.0,100.0,57.0,6.0,4.0,23.0,,17.0,2.0,1.0,2.0,7.0,1.0,2.0,15.0,,11.0,1.0,1.0,2.0,4.0,50.0,42.0,67.0,,48.0,40.0,100.0,67.0,2.0,19.0,3.0,,21.0,10.0,2.0,3.0,1.0,8.0,2.0,,10.0,4.0,2.0,2.0,,20.0,,5.0,,1.0,,,,,,,,,,,,
198500373,Holysoly,arathor,3.0,441.0,100.0,,0.0,,,0.0,,0.0,0.0,2.0,,1.0,,,1.0,,2.0,2.0,2.0,,0.0,,,0.0,,0.0,0.0,,,,,25.0,,,,,,,,4.0,,,,,,,,1.0,,,,,0.0,,1.0,,0.0,,,,,,,,,,,,
243556201,Финиту,gordunni,9.0,1850.0,33.0,40.0,50.0,,33.0,100.0,0.0,0.0,,3.0,5.0,2.0,,3.0,2.0,1.0,2.0,,1.0,2.0,1.0,,1.0,2.0,0.0,0.0,,50.0,,,,,100.0,,100.0,2.0,,,,,3.0,,3.0,1.0,,,,,3.0,,3.0,50.0,,2.0,,1.0,,,,,,,,,,,,,
134200391,Chuipàlà,sargeras,31.0,1749.0,0.0,0.0,62.0,,50.0,,83.0,,0.0,3.0,1.0,8.0,,2.0,,6.0,,1.0,0.0,0.0,5.0,,1.0,,5.0,,0.0,50.0,50.0,67.0,,60.0,17.0,0.0,,2.0,8.0,3.0,,5.0,6.0,1.0,,1.0,4.0,2.0,,3.0,1.0,0.0,,,0.0,,1.0,,0.0,,,,,,,,,,,,
154439539,Тэриа,gordunni,59.0,2361.0,50.0,67.0,67.0,,67.0,100.0,,33.0,,2.0,3.0,3.0,,6.0,2.0,,3.0,,1.0,2.0,2.0,,4.0,2.0,,1.0,,67.0,,50.0,,29.0,50.0,0.0,0.0,3.0,,2.0,,7.0,2.0,2.0,2.0,2.0,,1.0,,2.0,1.0,0.0,0.0,,0.0,,1.0,,0.0,,,,0.0,1.0,0.0,,,,,,
