character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Ashran win_rate,Ashran played,Ashran won,Cooking: Impossible win_rate,Arathi Basin Comp Stomp win_rate,Cooking: Impossible played,Arathi Basin Comp Stomp played,Cooking: Impossible won,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
112357648,Elizâ,twisting-nether,6.0,473.0,,,,0.0,,,,67.0,100.0,,,,0.0,0.0,100.0,0.0,,0.0,,,,2.0,,,,3.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,0.0,,,,2.0,1.0,,,,0.0,0.0,1.0,0.0,,0.0,,,,100.0,1.0,1.0,,,,,,,,,
150370314,Paladdan,magtheridon,56.0,25.0,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
208512764,Palastos,runetotem,50.0,125.0,,,,,,,,0.0,,0.0,,,,,100.0,,,0.0,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,0.0,,0.0,,,,,1.0,,,0.0,,,,,,,,,,,,,,,
191078160,Lightt,frostmane,23.0,236.0,,,,0.0,,,,,0.0,0.0,,,50.0,100.0,0.0,,,0.0,,,,1.0,,,,,1.0,1.0,,,2.0,1.0,1.0,,,1.0,,,,0.0,,,,,0.0,0.0,,,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,
183218155,Arthhur,silvermoon,5.0,49537.0,56.0,49.0,48.0,39.0,40.0,62.0,57.0,45.0,50.0,45.0,50.0,100.0,0.0,100.0,,67.0,0.0,,209.0,421.0,180.0,99.0,94.0,114.0,167.0,49.0,110.0,42.0,16.0,1.0,1.0,2.0,,3.0,1.0,,118.0,207.0,86.0,39.0,38.0,71.0,96.0,22.0,55.0,19.0,8.0,1.0,0.0,2.0,,2.0,0.0,,,,,,,,,,,,,,,,
117778698,Oceanvibe,tarren-mill,17.0,545.0,,,,0.0,,67.0,67.0,0.0,0.0,50.0,,,0.0,100.0,67.0,100.0,,100.0,,,,1.0,,3.0,3.0,1.0,2.0,2.0,,,1.0,1.0,3.0,1.0,,1.0,,,,0.0,,2.0,2.0,0.0,0.0,1.0,,,0.0,1.0,2.0,1.0,,1.0,0.0,1.0,0.0,,,,,,,,,,,,
80447738,Expandur,grim-batol,6.0,1654.0,83.0,33.0,17.0,60.0,83.0,70.0,0.0,,14.0,33.0,,,50.0,,0.0,0.0,0.0,,6.0,3.0,6.0,5.0,6.0,10.0,1.0,,7.0,3.0,,,2.0,,1.0,1.0,1.0,,5.0,1.0,1.0,3.0,5.0,7.0,0.0,,1.0,1.0,,,1.0,,0.0,0.0,0.0,,,,,100.0,1.0,1.0,,,,,,,0.0,1.0,0.0
185413035,Darktool,silvermoon,29.0,2969.0,60.0,,,80.0,,67.0,75.0,50.0,50.0,100.0,,50.0,33.0,67.0,50.0,50.0,,0.0,5.0,,,5.0,,3.0,4.0,4.0,4.0,2.0,,2.0,3.0,6.0,4.0,4.0,,2.0,3.0,,,4.0,,2.0,3.0,2.0,2.0,2.0,,1.0,1.0,4.0,2.0,2.0,,0.0,,,,100.0,1.0,1.0,,,,,,,,,
159238331,Judgebusse,silvermoon,4.0,225.0,,,,,,,100.0,,,33.0,,,0.0,,,,,100.0,,,,,,,2.0,,,3.0,,,2.0,,,,,1.0,,,,,,,2.0,,,1.0,,,0.0,,,,,1.0,,,,,,,,,,,,,,,
16524690,Мистыч,gordunni,3.0,2381.0,,0.0,,,,,,100.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
95655246,Zeroheal,antonidas,25.0,4302.0,100.0,45.0,50.0,43.0,0.0,100.0,42.0,67.0,55.0,31.0,33.0,,100.0,,,,,,1.0,20.0,10.0,7.0,3.0,1.0,24.0,9.0,20.0,13.0,9.0,,1.0,,,,,,1.0,9.0,5.0,3.0,0.0,1.0,10.0,6.0,11.0,4.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,
107312948,Дэфрейд,gordunni,1.0,165.0,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,
226307706,Harderage,sylvanas,80.0,28119.0,58.0,55.0,49.0,43.0,41.0,59.0,54.0,58.0,53.0,63.0,53.0,,59.0,42.0,54.0,43.0,0.0,60.0,26.0,77.0,59.0,89.0,58.0,22.0,74.0,66.0,78.0,81.0,57.0,,17.0,12.0,13.0,7.0,1.0,10.0,15.0,42.0,29.0,38.0,24.0,13.0,40.0,38.0,41.0,51.0,30.0,,10.0,5.0,7.0,3.0,0.0,6.0,25.0,4.0,1.0,22.0,9.0,2.0,,100.0,,6.0,,6.0,,,
