character.id,character.name,character.realm.slug,honor_level,honorable_kills,Twin Peaks win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Twin Peaks played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Twin Peaks won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Battle for Wintergrasp won,Deepwind Gorge won,Arathi Basin Winter win_rate,Korrak's Revenge win_rate,Arathi Basin Winter played,Korrak's Revenge played,Arathi Basin Winter won,Korrak's Revenge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Comp Stomp played,Rated Eye of the Storm won,Ashran won,Arathi Basin Comp Stomp won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won
168645286,Flyttebyrå,tarren-mill,9.0,852.0,,0.0,0.0,50.0,,1.0,1.0,2.0,,0.0,0.0,1.0,0.0,,,100.0,,50.0,0.0,50.0,67.0,,0.0,33.0,3.0,,,1.0,,2.0,1.0,2.0,3.0,,1.0,3.0,0.0,,,1.0,,1.0,0.0,1.0,2.0,,0.0,1.0,,,,,,,,33.0,,,3.0,,,1.0,,,,,,,
132200671,Jubileu,silvermoon,13.0,1928.0,100.0,200.0,,,1.0,1.0,,,1.0,2.0,,,0.0,50.0,50.0,50.0,100.0,83.0,67.0,0.0,0.0,83.0,,,4.0,6.0,4.0,2.0,1.0,6.0,3.0,2.0,1.0,6.0,,,0.0,3.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,5.0,,,100.0,0.0,1.0,2.0,1.0,0.0,,,,,,,,,,,,,,,
173390509,Куллон,gordunni,6.0,64.0,,,,0.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,
166032471,Ондреич,gordunni,39.0,1450.0,0.0,,100.0,,1.0,,2.0,,0.0,,2.0,,50.0,50.0,,0.0,0.0,0.0,33.0,50.0,57.0,100.0,0.0,,4.0,4.0,,1.0,1.0,2.0,3.0,2.0,7.0,1.0,1.0,,2.0,2.0,,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,,,,,,,,,100.0,,,2.0,,,2.0,,,,,,,
163050917,Bibellæseren,terenas,21.0,493.0,,,100.0,50.0,,,1.0,2.0,,,1.0,1.0,100.0,,,0.0,,100.0,100.0,,,,,,2.0,,,2.0,,2.0,1.0,,,,,,2.0,,,0.0,,2.0,1.0,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,,
181196446,Zephoon,nemesis,17.0,4782.0,67.0,25.0,62.0,40.0,9.0,8.0,8.0,10.0,6.0,2.0,5.0,4.0,60.0,,,50.0,,64.0,50.0,50.0,50.0,,36.0,64.0,5.0,,,4.0,,11.0,8.0,8.0,12.0,,11.0,11.0,3.0,,,2.0,,7.0,4.0,4.0,6.0,,4.0,7.0,,,,,,,,50.0,,,4.0,,,2.0,,,,,,,
160130322,Âmy,ysera,7.0,319.0,,0.0,,,,1.0,,,,0.0,,,0.0,,,0.0,,,100.0,0.0,,,,,1.0,,,1.0,,,1.0,1.0,,,,,0.0,,,0.0,,,1.0,0.0,,,,,,,,,,,,,100.0,,,1.0,,,1.0,,,,,,
157745329,Eulumur,ysera,3.0,259.0,0.0,100.0,,0.0,3.0,1.0,,2.0,0.0,1.0,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,1.0,,,0.0,,,,,,,,
137177891,Heartfilia,norgannon,22.0,3935.0,20.0,71.0,60.0,100.0,5.0,7.0,5.0,1.0,1.0,5.0,3.0,1.0,83.0,,,40.0,,100.0,43.0,67.0,71.0,,50.0,71.0,12.0,,,5.0,,6.0,7.0,6.0,7.0,,4.0,7.0,10.0,,,2.0,,6.0,3.0,4.0,5.0,,2.0,5.0,,,,,,,0.0,100.0,,1.0,6.0,,0.0,6.0,,,,,,,
149922389,Verdikt,alleria,13.0,3767.0,31.0,0.0,57.0,,13.0,4.0,7.0,,4.0,0.0,4.0,,60.0,50.0,20.0,100.0,0.0,100.0,40.0,67.0,43.0,67.0,80.0,100.0,5.0,8.0,5.0,9.0,1.0,4.0,5.0,3.0,14.0,3.0,5.0,2.0,3.0,4.0,1.0,9.0,0.0,4.0,2.0,2.0,6.0,2.0,4.0,2.0,,,,,,,,,100.0,,,4.0,,,4.0,,,,,,
