character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,The Battle for Gilneas played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,The Battle for Gilneas won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Silvershard Mines win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Silvershard Mines played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Silvershard Mines won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Classic Arathi Basin win_rate,Classic Arathi Basin played,Classic Arathi Basin won,Classic Warsong Gulch win_rate,Strand of the Ancients win_rate,Rated Eye of the Storm win_rate,Classic Warsong Gulch played,Strand of the Ancients played,Rated Eye of the Storm played,Classic Warsong Gulch won,Strand of the Ancients won,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
137189961,Solnyshka,draenor,7.0,2205.0,67.0,43.0,50.0,33.0,60.0,67.0,100.0,0.0,75.0,0.0,33.0,50.0,3.0,7.0,4.0,3.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,75.0,,43.0,,,4.0,,7.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,
155896862,Piladi,malfurion,27.0,4449.0,60.0,50.0,100.0,67.0,,50.0,80.0,83.0,100.0,100.0,57.0,0.0,10.0,4.0,5.0,3.0,,14.0,5.0,6.0,5.0,2.0,7.0,2.0,6.0,2.0,5.0,2.0,,7.0,4.0,5.0,5.0,2.0,4.0,0.0,50.0,,,100.0,25.0,4.0,,,2.0,44.0,2.0,,,2.0,11.0,,,,,,,,,,,,,,,,,,
180605887,Hatam,silvermoon,75.0,110998.0,56.0,50.0,50.0,52.0,55.0,64.0,,43.0,0.0,0.0,21.0,100.0,310.0,301.0,256.0,196.0,210.0,173.0,,7.0,1.0,3.0,14.0,1.0,175.0,150.0,127.0,102.0,115.0,111.0,,3.0,0.0,0.0,3.0,1.0,51.0,52.0,100.0,,0.0,219.0,153.0,1.0,,12.0,112.0,80.0,1.0,,0.0,45.0,509.0,229.0,55.0,49.0,,421.0,233.0,,232.0,115.0,,,,,,,
167207803,Wörth,tyrande,11.0,3683.0,,40.0,67.0,64.0,50.0,50.0,,0.0,100.0,50.0,0.0,100.0,,15.0,3.0,14.0,12.0,14.0,,1.0,1.0,2.0,1.0,3.0,,6.0,2.0,9.0,6.0,7.0,,0.0,1.0,1.0,0.0,3.0,41.0,46.0,,,,17.0,13.0,,,,7.0,6.0,,,,40.0,10.0,4.0,67.0,0.0,,9.0,4.0,,6.0,0.0,,,,,,,
208307745,Silverdawn,runetotem,25.0,50078.0,57.0,62.0,57.0,70.0,56.0,67.0,,67.0,33.0,25.0,33.0,56.0,130.0,165.0,70.0,201.0,181.0,153.0,,6.0,3.0,4.0,3.0,9.0,74.0,103.0,40.0,140.0,102.0,102.0,,4.0,1.0,1.0,1.0,5.0,67.0,73.0,100.0,100.0,,147.0,79.0,1.0,2.0,,99.0,58.0,1.0,2.0,,58.0,146.0,84.0,63.0,58.0,,206.0,123.0,,129.0,71.0,,,,,,,
173123584,Bod,twisting-nether,18.0,10740.0,60.0,100.0,0.0,,100.0,100.0,25.0,,,,100.0,50.0,10.0,3.0,2.0,,1.0,1.0,4.0,,,,1.0,2.0,6.0,3.0,0.0,,1.0,1.0,1.0,,,,1.0,1.0,100.0,,,,,1.0,,,,,1.0,,,,,100.0,7.0,7.0,87.0,100.0,,23.0,2.0,,20.0,2.0,,,,,,,
31514334,Nohdrel,malygos,51.0,11948.0,48.0,48.0,15.0,38.0,80.0,67.0,,0.0,100.0,,20.0,0.0,23.0,29.0,13.0,8.0,5.0,6.0,,1.0,2.0,,5.0,1.0,11.0,14.0,2.0,3.0,4.0,4.0,,0.0,2.0,,1.0,0.0,57.0,100.0,,100.0,67.0,7.0,3.0,,1.0,6.0,4.0,3.0,,1.0,4.0,60.0,47.0,28.0,52.0,31.0,,40.0,13.0,,21.0,4.0,,,,,,,
149913959,Akhîro,malygos,5.0,1014.0,43.0,0.0,50.0,0.0,50.0,0.0,,,,,,,7.0,1.0,2.0,2.0,4.0,2.0,,,,,,,3.0,0.0,1.0,0.0,2.0,0.0,,,,,,,0.0,100.0,,,,4.0,2.0,,,,0.0,2.0,,,,,,,0.0,50.0,,1.0,2.0,,0.0,1.0,,,,,,,
175959101,Arctïk,marécage-de-zangar,9.0,1438.0,100.0,100.0,100.0,33.0,50.0,0.0,100.0,100.0,20.0,50.0,0.0,33.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,33.0,33.0,,,,3.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
42166217,Vaastra,bronze-dragonflight,4.0,10945.0,64.0,55.0,50.0,79.0,44.0,33.0,,0.0,100.0,0.0,,50.0,14.0,22.0,6.0,14.0,9.0,3.0,,2.0,1.0,1.0,,2.0,9.0,12.0,3.0,11.0,4.0,1.0,,0.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,35.0,31.0,11.0,60.0,54.0,,25.0,26.0,,15.0,14.0,,,,,,,
164442418,Arótas,malygos,28.0,7669.0,33.0,63.0,75.0,39.0,58.0,67.0,50.0,73.0,60.0,46.0,75.0,0.0,3.0,19.0,4.0,18.0,19.0,15.0,2.0,11.0,15.0,13.0,4.0,1.0,1.0,12.0,3.0,7.0,11.0,10.0,1.0,8.0,9.0,6.0,3.0,0.0,21.0,78.0,,100.0,0.0,14.0,9.0,,81.0,4.0,3.0,7.0,,81.0,0.0,100.0,2.0,2.0,0.0,33.0,,3.0,6.0,,0.0,2.0,,,,,,,
131403913,Weinbaron,malfurion,11.0,3041.0,75.0,43.0,50.0,57.0,60.0,44.0,,40.0,31.0,50.0,,40.0,4.0,7.0,2.0,14.0,10.0,9.0,,10.0,13.0,2.0,,10.0,3.0,3.0,1.0,8.0,6.0,4.0,,4.0,4.0,1.0,,4.0,33.0,,,,0.0,12.0,,,,2.0,4.0,,,,0.0,,,,,,,,,,,,,,,,,,
163463811,Nathalie,malfurion,4.0,434.0,,,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
