character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Strand of the Ancients win_rate,Ashran win_rate,Strand of the Ancients played,Ashran played,Strand of the Ancients won,Ashran won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
148556259,Elvandara,blackmoore,68.0,3853.0,53.0,42.0,0.0,22.0,44.0,31.0,0.0,43.0,36.0,0.0,29.0,75.0,67.0,33.0,100.0,33.0,15.0,12.0,2.0,9.0,16.0,16.0,5.0,7.0,11.0,1.0,7.0,4.0,6.0,3.0,1.0,3.0,8.0,5.0,0.0,2.0,7.0,5.0,0.0,3.0,4.0,0.0,2.0,3.0,4.0,1.0,1.0,1.0,,78.0,,9.0,,7.0,,,,,,,,,,,,,,,
124052689,Donkonfetty,alexstrasza,43.0,11151.0,59.0,54.0,57.0,67.0,50.0,60.0,100.0,61.0,53.0,75.0,33.0,0.0,0.0,40.0,100.0,,22.0,39.0,37.0,15.0,16.0,30.0,8.0,36.0,15.0,4.0,3.0,1.0,2.0,5.0,22.0,,13.0,21.0,21.0,10.0,8.0,18.0,8.0,22.0,8.0,3.0,1.0,0.0,0.0,2.0,22.0,,62.0,50.0,13.0,2.0,8.0,1.0,,,,,,,,,,,,,,,
65647325,Glamdalin,arygos,35.0,6259.0,50.0,40.0,12.0,60.0,67.0,43.0,47.0,56.0,45.0,58.0,50.0,77.0,50.0,0.0,100.0,50.0,14.0,25.0,8.0,10.0,6.0,21.0,19.0,16.0,22.0,12.0,12.0,13.0,6.0,1.0,1.0,4.0,7.0,10.0,1.0,6.0,4.0,9.0,9.0,9.0,10.0,7.0,6.0,10.0,3.0,0.0,1.0,2.0,100.0,50.0,3.0,2.0,3.0,1.0,,,,,,,,,,67.0,3.0,2.0,,,
120554741,Hearthledger,magtheridon,5.0,75.0,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123470723,Jokingjoe,arygos,22.0,6539.0,46.0,46.0,35.0,50.0,62.0,0.0,25.0,0.0,100.0,,,,,,,,13.0,13.0,26.0,22.0,8.0,1.0,4.0,1.0,1.0,,,,,,,,6.0,6.0,9.0,11.0,5.0,0.0,1.0,0.0,1.0,,,,,,,,45.0,0.0,33.0,1.0,15.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,
149943585,Azguz,der-rat-von-dalaran,20.0,405.0,,100.0,,,0.0,0.0,0.0,50.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,,,0.0,0.0,0.0,1.0,,,,,,,,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,
181762404,Кеейс,deathguard,13.0,699.0,0.0,,,0.0,,33.0,0.0,0.0,100.0,,100.0,33.0,100.0,100.0,,0.0,1.0,,,1.0,,3.0,1.0,1.0,2.0,,1.0,3.0,1.0,1.0,,1.0,0.0,,,0.0,,1.0,0.0,0.0,2.0,,1.0,1.0,1.0,1.0,,0.0,,100.0,,1.0,,1.0,,,,100.0,1.0,1.0,,,,,,,,,
161506672,Teohadskils,twisting-nether,6.0,746.0,50.0,,,50.0,50.0,100.0,100.0,,50.0,,100.0,0.0,100.0,0.0,,75.0,2.0,,,2.0,2.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,,4.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,1.0,0.0,,3.0,,,,,,,,,,,,,,,,,,,,,
153393925,Newt,taerar,4.0,921.0,,100.0,,,,,,100.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198284627,Zarcor,archimonde,7.0,2557.0,100.0,40.0,33.0,50.0,,29.0,60.0,83.0,25.0,0.0,20.0,67.0,100.0,67.0,,,2.0,5.0,3.0,6.0,,7.0,10.0,6.0,4.0,1.0,5.0,3.0,1.0,3.0,,,2.0,2.0,1.0,3.0,,2.0,6.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0,,,100.0,,1.0,,1.0,,,,,,,,,,,,,,,,
