character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
181402947,Альтик,ashenvale,60.0,44595.0,72.0,52.0,38.0,59.0,,44.0,72.0,67.0,61.0,62.0,81.0,57.0,100.0,57.0,43.0,50.0,45.0,100.0,100.0,56.0,79.0,21.0,8.0,34.0,,81.0,32.0,42.0,38.0,52.0,31.0,14.0,4.0,30.0,21.0,14.0,38.0,10.0,10.0,9.0,57.0,11.0,3.0,20.0,,36.0,23.0,28.0,23.0,32.0,25.0,8.0,4.0,17.0,9.0,7.0,17.0,10.0,10.0,5.0,,,,,,,,,
166510365,Pindorhad,twisting-nether,21.0,3195.0,67.0,,,0.0,,50.0,43.0,33.0,100.0,77.0,,,,56.0,60.0,50.0,0.0,,,57.0,3.0,,,2.0,,2.0,7.0,6.0,2.0,13.0,,,,9.0,15.0,8.0,5.0,,,7.0,2.0,,,0.0,,1.0,3.0,2.0,2.0,10.0,,,,5.0,9.0,4.0,0.0,,,4.0,25.0,4.0,1.0,,,,,,
168522770,Bakmachine,ragnaros,4.0,411.0,,,,,,,,,0.0,100.0,0.0,,,,,,100.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,0.0,1.0,0.0,,,,,,1.0,,,,,,,,,,,,
175572397,Pjpal,khaz-modan,9.0,2380.0,60.0,,,0.0,,86.0,100.0,100.0,60.0,100.0,,88.0,,0.0,0.0,25.0,50.0,,,50.0,5.0,,,1.0,,7.0,1.0,1.0,5.0,2.0,,8.0,,2.0,2.0,4.0,2.0,,,4.0,3.0,,,0.0,,6.0,1.0,1.0,3.0,2.0,,7.0,,0.0,0.0,1.0,1.0,,,2.0,,,,,,,,,
193184664,Livius,kazzak,32.0,3347.0,50.0,,,33.0,,50.0,62.0,38.0,70.0,40.0,,43.0,,29.0,50.0,43.0,40.0,,,50.0,6.0,,,3.0,,2.0,8.0,8.0,10.0,10.0,,7.0,,7.0,8.0,7.0,10.0,,,14.0,3.0,,,1.0,,1.0,5.0,3.0,7.0,4.0,,3.0,,2.0,4.0,3.0,4.0,,,7.0,83.0,6.0,5.0,,,,,,
194256828,Sukeava,chamber-of-aspects,3.0,279.0,,,,,,,100.0,50.0,,,,,,,0.0,,,,,100.0,,,,,,,1.0,2.0,,,,,,,2.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,0.0,,,,,1.0,,,,,,,,,
195752148,Богдрикс,soulflayer,77.0,5771.0,80.0,,,67.0,,50.0,53.0,55.0,60.0,45.0,50.0,0.0,100.0,50.0,58.0,100.0,75.0,100.0,0.0,58.0,5.0,,,3.0,,6.0,19.0,11.0,15.0,20.0,2.0,1.0,1.0,14.0,12.0,6.0,8.0,1.0,2.0,12.0,4.0,,,2.0,,3.0,10.0,6.0,9.0,9.0,1.0,0.0,1.0,7.0,7.0,6.0,6.0,1.0,0.0,7.0,33.0,3.0,1.0,,,,,,
134791701,Dinnadan,burning-legion,35.0,1683.0,,100.0,38.0,67.0,67.0,100.0,50.0,50.0,33.0,40.0,100.0,,,0.0,0.0,100.0,,,,0.0,,4.0,8.0,6.0,3.0,1.0,2.0,4.0,3.0,5.0,2.0,,,1.0,2.0,1.0,,,,1.0,,4.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,,,0.0,0.0,1.0,,,,0.0,,,,,,,,,
175828779,Холисмайл,howling-fjord,3.0,396.0,100.0,,,,,,100.0,,100.0,,,,,,,0.0,100.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,0.0,1.0,,,,,,,,,,,,
69121785,Syriel,nazjatar,26.0,10735.0,43.0,33.0,0.0,0.0,50.0,0.0,,33.0,100.0,100.0,50.0,,,,,,100.0,100.0,91.0,,7.0,3.0,1.0,1.0,2.0,1.0,,3.0,1.0,2.0,2.0,,,,,,1.0,1.0,22.0,,3.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,2.0,1.0,,,,,,1.0,1.0,20.0,,,,,,,,,,
