character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Warsong Gulch win_rate,Korrak's Revenge win_rate,Rated Eye of the Storm played,Ashran played,Arathi Basin Winter played,Warsong Gulch played,Korrak's Revenge played,Rated Eye of the Storm won,Ashran won,Arathi Basin Winter won,Warsong Gulch won,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
154542929,Zandril,ragnaros,40.0,5387.0,25.0,,,33.0,,70.0,25.0,55.0,60.0,67.0,,64.0,40.0,40.0,,25.0,8.0,,,3.0,,10.0,8.0,11.0,10.0,6.0,,14.0,10.0,15.0,,12.0,2.0,,,1.0,,7.0,2.0,6.0,6.0,4.0,,9.0,4.0,6.0,,3.0,100.0,33.0,50.0,50.0,,2.0,3.0,2.0,12.0,,2.0,1.0,1.0,6.0,,,,,,,
82808296,Fatbreeze,stormscale,11.0,1559.0,33.0,33.0,33.0,100.0,100.0,0.0,50.0,100.0,33.0,33.0,0.0,0.0,100.0,33.0,,,6.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,,,2.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,0.0,,0.0,82.0,,2.0,,1.0,11.0,,0.0,,0.0,9.0,,,,,,
109601890,Toh,emeriss,32.0,6752.0,50.0,33.0,75.0,67.0,33.0,33.0,33.0,38.0,40.0,20.0,0.0,,50.0,100.0,,0.0,2.0,6.0,4.0,3.0,3.0,3.0,9.0,8.0,5.0,10.0,6.0,,2.0,1.0,,2.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,,1.0,1.0,,0.0,,100.0,,,100.0,,2.0,,,5.0,,2.0,,,5.0,,,,,,
175716620,Korro,twisting-nether,5.0,368.0,,,,,,50.0,100.0,,100.0,,,100.0,0.0,100.0,,0.0,,,,,,2.0,2.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,2.0,,1.0,,,1.0,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,
169692640,Dankku,stormreaver,11.0,1545.0,33.0,,,0.0,,33.0,100.0,,100.0,,,,,100.0,,100.0,3.0,,,2.0,,6.0,1.0,,1.0,,,,,2.0,,1.0,1.0,,,0.0,,2.0,1.0,,1.0,,,,,2.0,,1.0,,67.0,,,,,6.0,,,,,4.0,,,,,,,,,
191510274,Palaberg,kazzak,6.0,35.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
113913375,Epic,emeriss,22.0,46808.0,65.0,75.0,80.0,71.0,70.0,56.0,67.0,77.0,69.0,79.0,63.0,78.0,80.0,60.0,,100.0,112.0,110.0,153.0,101.0,122.0,89.0,69.0,35.0,55.0,24.0,19.0,23.0,5.0,5.0,,2.0,73.0,82.0,122.0,72.0,85.0,50.0,46.0,27.0,38.0,19.0,12.0,18.0,4.0,3.0,,2.0,,33.0,,70.0,,,3.0,,10.0,,,1.0,,7.0,,,,,,,
194750048,Lotharion,grim-batol,15.0,787.0,0.0,,,0.0,,0.0,,40.0,50.0,0.0,,50.0,50.0,50.0,,0.0,1.0,,,1.0,,1.0,,5.0,2.0,1.0,,2.0,2.0,2.0,,1.0,0.0,,,0.0,,0.0,,2.0,1.0,0.0,,1.0,1.0,1.0,,0.0,,100.0,,0.0,,,1.0,,1.0,,,1.0,,0.0,,,,,,,
118596656,Gringgo,aggra-português,26.0,2894.0,22.0,0.0,45.0,33.0,57.0,40.0,33.0,67.0,43.0,33.0,25.0,33.0,25.0,,,67.0,9.0,2.0,11.0,6.0,7.0,5.0,9.0,6.0,7.0,9.0,8.0,3.0,4.0,,,3.0,2.0,0.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,,,2.0,67.0,,,50.0,,3.0,,,2.0,,2.0,,,1.0,,,,,,,
125912966,Lìñk,confrérie-du-thorium,7.0,4378.0,60.0,,,29.0,,100.0,20.0,75.0,40.0,67.0,50.0,38.0,29.0,50.0,,0.0,5.0,,,7.0,,1.0,5.0,4.0,10.0,3.0,2.0,8.0,7.0,2.0,,1.0,3.0,,,2.0,,1.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,,0.0,,,,33.0,82.0,,,,6.0,11.0,,,,2.0,9.0,0.0,1.0,0.0,,,
