character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Arathi Basin win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Arathi Basin played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Classic Arathi Basin won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Arathi Basin win_rate,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Arathi Basin played,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Arathi Basin won,Classic Warsong Gulch win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Classic Warsong Gulch played,Eye of the Storm played,Strand of the Ancients played,Classic Warsong Gulch won,Eye of the Storm won,Strand of the Ancients won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Ashran win_rate,Arathi Basin Comp Stomp win_rate,Ashran played,Arathi Basin Comp Stomp played,Ashran won,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
162311003,Mjuarez,shendralar,13.0,19099.0,55.0,48.0,0.0,,,50.0,50.0,25.0,100.0,22.0,25.0,1.0,,,4.0,4.0,4.0,3.0,12.0,12.0,0.0,,,2.0,2.0,1.0,3.0,55.0,20.0,33.0,,,50.0,22.0,5.0,6.0,,,4.0,12.0,1.0,2.0,,,2.0,28.0,55.0,47.0,50.0,40.0,38.0,14.0,22.0,18.0,,,,50.0,,2.0,,1.0,,,,,,,
72804851,Silvérman,eredar,9.0,3154.0,60.0,44.0,67.0,0.0,,100.0,,0.0,,5.0,9.0,3.0,1.0,,1.0,,1.0,,3.0,4.0,2.0,0.0,,1.0,,0.0,,67.0,67.0,80.0,50.0,,100.0,12.0,3.0,10.0,4.0,,1.0,8.0,2.0,8.0,2.0,,1.0,38.0,50.0,33.0,8.0,10.0,3.0,3.0,5.0,1.0,,,,,,,,,,,,,,,
196031275,Phynes,hyjal,16.0,2247.0,100.0,,71.0,,,71.0,86.0,,50.0,1.0,,7.0,,,7.0,7.0,,2.0,1.0,,5.0,,,5.0,6.0,,1.0,100.0,50.0,100.0,55.0,,100.0,2.0,8.0,6.0,11.0,,2.0,2.0,4.0,6.0,6.0,,2.0,,40.0,,,5.0,,,2.0,,,,,33.0,,3.0,,1.0,,,,,,,
176369240,Holyjugendqq,ragnaros,11.0,2730.0,100.0,,100.0,,100.0,33.0,25.0,60.0,20.0,3.0,,4.0,,2.0,3.0,4.0,5.0,5.0,3.0,,4.0,,2.0,1.0,1.0,3.0,1.0,25.0,,50.0,33.0,,75.0,8.0,,2.0,3.0,,4.0,2.0,,1.0,1.0,,3.0,,100.0,,,1.0,,,1.0,,,,,50.0,,8.0,,4.0,,,,,,,
209554138,Пинкфил,ashenvale,23.0,4972.0,60.0,50.0,67.0,38.0,,71.0,33.0,50.0,0.0,10.0,2.0,9.0,8.0,,7.0,6.0,2.0,2.0,6.0,1.0,6.0,3.0,,5.0,2.0,1.0,0.0,67.0,23.0,38.0,50.0,,33.0,3.0,13.0,16.0,20.0,,3.0,2.0,3.0,6.0,10.0,,1.0,38.0,73.0,100.0,13.0,11.0,1.0,5.0,8.0,1.0,,,,,100.0,,1.0,,1.0,,,,,,
153863408,Osïrïs,kazzak,47.0,6437.0,50.0,0.0,46.0,67.0,25.0,83.0,33.0,50.0,33.0,8.0,2.0,13.0,3.0,4.0,6.0,3.0,6.0,6.0,4.0,0.0,6.0,2.0,1.0,5.0,1.0,3.0,2.0,100.0,40.0,33.0,50.0,33.0,50.0,4.0,10.0,9.0,12.0,3.0,4.0,4.0,4.0,3.0,6.0,1.0,2.0,33.0,50.0,,15.0,8.0,,5.0,4.0,,88.0,8.0,7.0,67.0,,6.0,,4.0,,,,,,,
104987278,Никромекон,gordunni,8.0,561.0,,,0.0,,,50.0,33.0,,100.0,,,1.0,,,2.0,3.0,,1.0,,,0.0,,,1.0,1.0,,1.0,,100.0,0.0,,,,,3.0,1.0,,,,,3.0,0.0,,,,,0.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,
122320627,Paphat,bladefist,9.0,1790.0,25.0,33.0,80.0,50.0,,67.0,100.0,100.0,100.0,4.0,3.0,5.0,2.0,,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,,2.0,1.0,1.0,4.0,50.0,67.0,75.0,100.0,,33.0,2.0,6.0,8.0,1.0,,3.0,1.0,4.0,6.0,1.0,,1.0,50.0,50.0,,2.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,,
123572064,Марилай,galakrond,146.0,13746.0,67.0,43.0,42.0,35.0,33.0,43.0,39.0,33.0,67.0,24.0,7.0,19.0,17.0,3.0,7.0,18.0,9.0,3.0,16.0,3.0,8.0,6.0,1.0,3.0,7.0,3.0,2.0,48.0,35.0,40.0,56.0,,60.0,23.0,17.0,10.0,9.0,,5.0,11.0,6.0,4.0,5.0,,3.0,62.0,40.0,50.0,8.0,15.0,4.0,5.0,6.0,2.0,0.0,1.0,0.0,,100.0,,16.0,,16.0,,,,,,
169680156,Батипомошник,galakrond,107.0,224.0,100.0,,50.0,,,,,,,1.0,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,2.0,,1.0,,,,,,,
176942328,Fenrocious,twisting-nether,31.0,4482.0,32.0,100.0,77.0,50.0,,,,,,28.0,2.0,53.0,2.0,,,,,,9.0,2.0,41.0,1.0,,,,,,0.0,57.0,77.0,0.0,,,2.0,7.0,22.0,1.0,,,0.0,4.0,17.0,0.0,,,94.0,100.0,40.0,16.0,6.0,5.0,15.0,6.0,2.0,,,,50.0,,2.0,,1.0,,,,,,,
95056547,Нуменорин,blackscar,31.0,14884.0,37.0,51.0,67.0,53.0,,100.0,,,,19.0,39.0,48.0,15.0,,1.0,,,,7.0,20.0,32.0,8.0,,1.0,,,,54.0,42.0,55.0,58.0,,,13.0,38.0,38.0,38.0,,,7.0,16.0,21.0,22.0,,,46.0,48.0,38.0,46.0,29.0,32.0,21.0,14.0,12.0,,,,,,,,,,,,,,,
170581558,Goci,silvermoon,31.0,46228.0,40.0,56.0,57.0,60.0,50.0,62.0,29.0,40.0,44.0,95.0,101.0,23.0,5.0,2.0,16.0,14.0,5.0,16.0,38.0,57.0,13.0,3.0,1.0,10.0,4.0,2.0,7.0,51.0,31.0,46.0,48.0,200.0,75.0,53.0,13.0,13.0,23.0,13.0,8.0,27.0,4.0,6.0,11.0,26.0,6.0,56.0,51.0,62.0,86.0,45.0,50.0,48.0,23.0,31.0,0.0,1.0,0.0,0.0,,4.0,,0.0,,,,,,,
199839356,Анринда,gordunni,145.0,753.0,,,100.0,,,,0.0,100.0,100.0,,,1.0,,,,2.0,2.0,2.0,,,1.0,,,,0.0,2.0,2.0,,100.0,,50.0,,,,1.0,,2.0,,,,1.0,,1.0,,,,0.0,,,1.0,,,0.0,,,,,0.0,100.0,1.0,1.0,0.0,1.0,,,,,,
48258787,Элайдж,galakrond,180.0,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,
