character.id,character.name,character.realm.slug,honor_level,honorable_kills,Isle of Conquest win_rate,Arathi Basin win_rate,Isle of Conquest played,Arathi Basin played,Isle of Conquest won,Arathi Basin won,Alterac Valley win_rate,Eye of the Storm win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Rated Eye of the Storm win_rate,Temple of Kotmogu win_rate,Ashran win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Rated Eye of the Storm played,Temple of Kotmogu played,Ashran played,Seething Shore played,Warsong Gulch played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Rated Eye of the Storm won,Temple of Kotmogu won,Ashran won,Seething Shore won,Warsong Gulch won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Arathi Basin Winter win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Arathi Basin Winter played,Classic Warsong Gulch won,Classic Arathi Basin won,Arathi Basin Winter won,Strand of the Ancients win_rate,Deepwind Gorge (Legacy) win_rate,Strand of the Ancients played,Deepwind Gorge (Legacy) played,Strand of the Ancients won,Deepwind Gorge (Legacy) won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
193588902,Lymefryn,silvermoon,24.0,1513.0,0.0,60.0,1.0,5.0,0.0,3.0,50.0,0.0,100.0,,67.0,,0.0,0.0,100.0,100.0,50.0,50.0,2.0,3.0,2.0,,3.0,,2.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,,2.0,,0.0,0.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
176231782,Intrøper,outland,11.0,3109.0,50.0,75.0,2.0,4.0,1.0,3.0,50.0,38.0,33.0,67.0,44.0,,29.0,,83.0,75.0,67.0,0.0,2.0,8.0,3.0,6.0,9.0,,7.0,,6.0,4.0,3.0,1.0,1.0,3.0,1.0,4.0,4.0,,2.0,,5.0,3.0,2.0,0.0,50.0,100.0,,4.0,3.0,,2.0,3.0,,,50.0,,4.0,,2.0,,,,,,,,,,,,
139956677,Dritnz,silvermoon,68.0,2518.0,0.0,100.0,1.0,1.0,0.0,1.0,50.0,43.0,75.0,50.0,57.0,0.0,44.0,100.0,80.0,0.0,100.0,67.0,4.0,7.0,4.0,8.0,7.0,2.0,9.0,2.0,5.0,3.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,0.0,4.0,2.0,4.0,0.0,1.0,2.0,33.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,50.0,67.0,2.0,3.0,1.0,2.0,,,,,,,,,,,,
155148357,Padogorek,silvermoon,115.0,28240.0,74.0,63.0,47.0,19.0,35.0,12.0,61.0,35.0,48.0,44.0,47.0,167.0,61.0,29.0,60.0,50.0,54.0,57.0,41.0,46.0,64.0,71.0,74.0,3.0,116.0,7.0,20.0,22.0,13.0,7.0,25.0,16.0,31.0,31.0,35.0,5.0,71.0,2.0,12.0,11.0,7.0,4.0,37.0,35.0,25.0,59.0,40.0,12.0,22.0,14.0,3.0,47.0,60.0,45.0,57.0,21.0,34.0,,,,100.0,5.0,5.0,,,,81.0,26.0,21.0
149922389,Verdikt,alleria,13.0,3767.0,100.0,,4.0,,4.0,,60.0,100.0,31.0,40.0,67.0,,43.0,,0.0,57.0,80.0,100.0,5.0,9.0,13.0,5.0,3.0,,14.0,,4.0,7.0,5.0,2.0,3.0,9.0,4.0,2.0,2.0,,6.0,,0.0,4.0,4.0,2.0,50.0,20.0,,8.0,5.0,,4.0,1.0,,0.0,67.0,1.0,3.0,0.0,2.0,,,,100.0,4.0,4.0,,,,,,
155711006,Gottköníg,antonidas,33.0,741.0,100.0,100.0,1.0,2.0,1.0,2.0,,0.0,,100.0,,,0.0,100.0,0.0,0.0,,100.0,,1.0,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,0.0,,1.0,,,0.0,1.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,33.0,6.0,2.0,,,,,,,,,
165207487,Titiran,drakthul,24.0,1352.0,0.0,33.0,1.0,3.0,0.0,1.0,100.0,75.0,100.0,80.0,100.0,0.0,33.0,100.0,67.0,50.0,,67.0,1.0,4.0,4.0,5.0,2.0,3.0,3.0,1.0,6.0,2.0,,6.0,1.0,3.0,4.0,4.0,2.0,0.0,1.0,1.0,4.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
172694863,Yagammi,silvermoon,20.0,315.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,,1.0,,,1.0,1.0,,,,,,1.0,,0.0,,,0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166629786,Mackthetank,kazzak,23.0,1246.0,,100.0,,1.0,,1.0,100.0,50.0,0.0,33.0,,,100.0,,,0.0,,,1.0,2.0,1.0,3.0,,,2.0,,,1.0,,,1.0,1.0,0.0,1.0,,,2.0,,,0.0,,,0.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,
173219133,Jàzmin,silvermoon,33.0,3386.0,67.0,75.0,3.0,4.0,2.0,3.0,67.0,14.0,50.0,33.0,50.0,,83.0,,50.0,50.0,100.0,50.0,6.0,7.0,2.0,3.0,2.0,,6.0,,4.0,6.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,,5.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,0.0,,1.0,,0.0,,,,,,,,,,,,
