character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Southshore vs. Tarren Mill win_rate,Arathi Basin Winter win_rate,Cooking: Impossible win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Southshore vs. Tarren Mill played,Arathi Basin Winter played,Cooking: Impossible played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Korrak's Revenge played,Deepwind Gorge played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Southshore vs. Tarren Mill won,Arathi Basin Winter won,Cooking: Impossible won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Korrak's Revenge won,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won
194215417,Cynthésia,kazzak,39.0,3244.0,80.0,,,67.0,,75.0,67.0,0.0,,33.0,,50.0,100.0,,,50.0,29.0,33.0,50.0,,83.0,100.0,5.0,,,3.0,,4.0,3.0,1.0,,3.0,,2.0,2.0,,,2.0,7.0,3.0,6.0,,6.0,2.0,4.0,,,2.0,,3.0,2.0,0.0,,1.0,,1.0,2.0,,,1.0,2.0,1.0,3.0,,5.0,2.0,,,
154518972,Ténnessy,thrall,2.0,114.0,100.0,,,,,,,,100.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,
110138369,Kanjouka,ravencrest,5.0,7996.0,50.0,83.0,67.0,0.0,100.0,100.0,25.0,,0.0,,,50.0,,,,100.0,,0.0,67.0,,,50.0,8.0,6.0,3.0,2.0,4.0,1.0,4.0,,1.0,,,4.0,,,,2.0,,1.0,3.0,,,2.0,4.0,5.0,2.0,0.0,4.0,1.0,1.0,,0.0,,,2.0,,,,2.0,,0.0,2.0,,,1.0,,,
188132505,Pablló,kazzak,111.0,136.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
151886576,Pazo,ulduar,5.0,364.0,,60.0,,,,,0.0,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,0.0,,,,,,,,,,,,,,,,,,
163201890,Bwubbles,ragnaros,19.0,863.0,50.0,,,,,25.0,,,33.0,100.0,,100.0,,75.0,,100.0,,100.0,100.0,,,100.0,2.0,,,,,4.0,,,3.0,2.0,,4.0,,4.0,,1.0,,3.0,1.0,,,2.0,1.0,,,,,1.0,,,1.0,2.0,,4.0,,3.0,,1.0,,3.0,1.0,,,2.0,,,
154097228,Hadan,dun-modr,10.0,414.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,
144014838,Engill,rexxar,12.0,2495.0,57.0,0.0,,0.0,,67.0,50.0,0.0,33.0,67.0,0.0,67.0,,,,20.0,20.0,25.0,60.0,,,100.0,7.0,3.0,,2.0,,3.0,2.0,6.0,3.0,3.0,1.0,6.0,,,,5.0,5.0,4.0,5.0,,,1.0,4.0,0.0,,0.0,,2.0,1.0,0.0,1.0,2.0,0.0,4.0,,,,1.0,1.0,1.0,3.0,,,1.0,,,
136599895,Ezina,die-nachtwache,38.0,8527.0,47.0,9.0,33.0,29.0,,82.0,58.0,42.0,47.0,57.0,40.0,0.0,,100.0,,54.0,35.0,75.0,45.0,100.0,23.0,,15.0,11.0,3.0,14.0,,11.0,12.0,19.0,15.0,23.0,10.0,2.0,,2.0,,13.0,20.0,4.0,11.0,3.0,13.0,,7.0,1.0,1.0,4.0,,9.0,7.0,8.0,7.0,13.0,4.0,0.0,,2.0,,7.0,7.0,3.0,5.0,3.0,3.0,,,,
154569909,Jarasan,ravencrest,12.0,2187.0,50.0,,,0.0,,67.0,0.0,100.0,33.0,100.0,,29.0,,,,,100.0,67.0,50.0,,,33.0,12.0,,,1.0,,6.0,1.0,1.0,3.0,2.0,,7.0,,,,,3.0,3.0,6.0,,,3.0,6.0,,,0.0,,4.0,0.0,1.0,1.0,2.0,,2.0,,,,,3.0,2.0,3.0,,,1.0,,,
156103505,Echnatón,teldrassil,48.0,102085.0,59.0,44.0,39.0,42.0,46.0,58.0,50.0,40.0,52.0,12.0,54.0,,,100.0,,0.0,67.0,100.0,0.0,100.0,14.0,,325.0,425.0,328.0,230.0,203.0,117.0,166.0,20.0,111.0,25.0,13.0,,,1.0,,3.0,3.0,1.0,1.0,2.0,7.0,,191.0,187.0,128.0,96.0,94.0,68.0,83.0,8.0,58.0,3.0,7.0,,,1.0,,0.0,2.0,1.0,0.0,2.0,1.0,,,,
127222815,Bloodhoofdaw,drakthul,38.0,3168.0,64.0,33.0,50.0,44.0,33.0,15.0,36.0,33.0,83.0,50.0,67.0,100.0,,0.0,,50.0,100.0,100.0,100.0,,,67.0,11.0,3.0,4.0,9.0,3.0,20.0,11.0,3.0,12.0,6.0,6.0,2.0,,1.0,,2.0,1.0,1.0,1.0,,,3.0,7.0,1.0,2.0,4.0,1.0,3.0,4.0,1.0,10.0,3.0,4.0,2.0,,0.0,,1.0,1.0,1.0,1.0,,,2.0,,,
163494060,Cladwell,argent-dawn,9.0,3106.0,100.0,,,67.0,,67.0,80.0,25.0,20.0,70.0,,0.0,,50.0,50.0,44.0,50.0,71.0,0.0,,25.0,38.0,1.0,,,3.0,,3.0,5.0,8.0,5.0,10.0,,2.0,,2.0,2.0,9.0,6.0,7.0,2.0,,4.0,8.0,1.0,,,2.0,,2.0,4.0,2.0,1.0,7.0,,0.0,,1.0,1.0,4.0,3.0,5.0,0.0,,1.0,3.0,,,
138302869,Флекселинг,goldrinn,71.0,2481.0,75.0,42.0,78.0,50.0,33.0,86.0,43.0,55.0,38.0,53.0,70.0,,,,,,,,,,,,8.0,19.0,18.0,8.0,3.0,7.0,14.0,22.0,13.0,30.0,10.0,,,,,,,,,,,,6.0,8.0,14.0,4.0,1.0,6.0,6.0,12.0,5.0,16.0,7.0,,,,,,,,,,,,,,
76719840,Scarecrôw,khazgoroth,9.0,4805.0,47.0,41.0,52.0,42.0,83.0,53.0,0.0,,12.0,,,,,,,,,,,,,,15.0,22.0,21.0,24.0,18.0,19.0,7.0,,8.0,,,,,,,,,,,,,,7.0,9.0,11.0,10.0,15.0,10.0,0.0,,1.0,,,,,,,,,,,,,,,,
72901396,Elión,dun-modr,151.0,13563.0,74.0,48.0,35.0,46.0,50.0,73.0,36.0,44.0,42.0,32.0,47.0,50.0,,100.0,,100.0,44.0,25.0,57.0,100.0,0.0,100.0,78.0,29.0,20.0,24.0,4.0,59.0,28.0,25.0,24.0,19.0,32.0,4.0,,1.0,,8.0,16.0,4.0,7.0,6.0,1.0,4.0,58.0,14.0,7.0,11.0,2.0,43.0,10.0,11.0,10.0,6.0,15.0,2.0,,1.0,,8.0,7.0,1.0,4.0,6.0,0.0,4.0,,,
