character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Arathi Basin Comp Stomp win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Arathi Basin Comp Stomp played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Arathi Basin Comp Stomp won,Deepwind Gorge win_rate,Deepwind Gorge played,Deepwind Gorge won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Korrak's Revenge win_rate,Korrak's Revenge played,Korrak's Revenge won,Southshore vs. Tarren Mill win_rate,Cooking: Impossible win_rate,Southshore vs. Tarren Mill played,Cooking: Impossible played,Southshore vs. Tarren Mill won,Cooking: Impossible won
160158798,Gorben,moonglade,10.0,695.0,,,,100.0,,,100.0,75.0,0.0,100.0,,,,,,67.0,,,,,,4.0,,,1.0,4.0,1.0,1.0,,,,,,3.0,,,,,,4.0,,,1.0,3.0,0.0,1.0,,,,,,2.0,,,75.0,4.0,3.0,,,,,,,,,,,,
43507403,Naville,arakarahm,20.0,7719.0,38.0,70.0,42.0,55.0,44.0,36.0,87.0,50.0,75.0,25.0,67.0,,,,,,,,13.0,40.0,12.0,22.0,16.0,14.0,15.0,4.0,16.0,4.0,6.0,,,,,,,,5.0,28.0,5.0,12.0,7.0,5.0,13.0,2.0,12.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,
153959746,Oink,antonidas,16.0,99.0,,,,,,,100.0,,100.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,
196031275,Phynes,hyjal,16.0,2247.0,100.0,,,40.0,,100.0,50.0,100.0,55.0,71.0,,33.0,,71.0,86.0,100.0,,,1.0,,,5.0,,2.0,8.0,6.0,11.0,7.0,,3.0,,7.0,7.0,2.0,,,1.0,,,2.0,,2.0,4.0,6.0,6.0,5.0,,1.0,,5.0,6.0,2.0,,,50.0,2.0,1.0,,,,,,,,,,,,
128957568,Aeth,argent-dawn,9.0,700.0,100.0,0.0,,40.0,,0.0,100.0,0.0,0.0,0.0,,,,50.0,50.0,0.0,,,1.0,1.0,,5.0,,1.0,1.0,2.0,1.0,1.0,,,,2.0,2.0,2.0,,,1.0,0.0,,2.0,,0.0,1.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,,,100.0,1.0,1.0,,,,,,,,,,,,
167544763,Athríl,tarren-mill,10.0,9959.0,46.0,48.0,42.0,33.0,48.0,34.0,33.0,62.0,38.0,44.0,0.0,67.0,,75.0,100.0,0.0,0.0,,35.0,58.0,33.0,33.0,23.0,47.0,33.0,13.0,45.0,18.0,5.0,3.0,,4.0,2.0,1.0,2.0,,16.0,28.0,14.0,11.0,11.0,16.0,11.0,8.0,17.0,8.0,0.0,2.0,,3.0,2.0,0.0,0.0,,0.0,3.0,0.0,,,,,,,,,,,,
186510186,Dorkgul,nemesis,10.0,225.0,,,,100.0,,100.0,,,,,,,,,100.0,,,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
86396058,Вильми,eversong,7.0,1733.0,67.0,71.0,50.0,100.0,0.0,67.0,100.0,50.0,0.0,,100.0,100.0,100.0,33.0,,50.0,50.0,,3.0,7.0,4.0,2.0,2.0,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,3.0,,2.0,2.0,,2.0,5.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
244614725,Бодрыйклоп,gordunni,7.0,688.0,,,,0.0,,100.0,100.0,100.0,100.0,100.0,,,,100.0,0.0,100.0,0.0,,,,,1.0,,2.0,2.0,1.0,3.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,0.0,,2.0,2.0,1.0,3.0,2.0,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,
192012678,Chiesi,nemesis,6.0,1201.0,40.0,50.0,75.0,100.0,,0.0,100.0,0.0,33.0,,50.0,,,,,,,,5.0,6.0,4.0,1.0,,1.0,1.0,2.0,3.0,,2.0,,,,,,,,2.0,3.0,3.0,1.0,,0.0,1.0,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
158300438,Lightforge,bloodfeather,6.0,636.0,,,,100.0,,,0.0,50.0,75.0,100.0,,,,0.0,,50.0,,,,,,1.0,,,3.0,2.0,4.0,1.0,,,,1.0,,2.0,,,,,,1.0,,,0.0,1.0,3.0,1.0,,,,0.0,,1.0,,,50.0,2.0,1.0,,,,,,,,,,,,
94375760,Laethir,shadowsong,9.0,13907.0,64.0,45.0,43.0,46.0,60.0,44.0,50.0,33.0,75.0,17.0,0.0,,,100.0,0.0,100.0,0.0,,56.0,89.0,35.0,39.0,15.0,9.0,6.0,3.0,4.0,6.0,1.0,,,6.0,2.0,2.0,1.0,,36.0,40.0,15.0,18.0,9.0,4.0,3.0,1.0,3.0,1.0,0.0,,,6.0,0.0,2.0,0.0,,100.0,1.0,1.0,,,,,,,,,,,,
225116496,Kímmimarú,sylvanas,11.0,1661.0,100.0,50.0,0.0,0.0,,0.0,50.0,33.0,100.0,40.0,100.0,,75.0,43.0,45.0,0.0,0.0,100.0,1.0,2.0,3.0,2.0,,1.0,4.0,6.0,1.0,5.0,1.0,,4.0,23.0,11.0,2.0,1.0,16.0,1.0,1.0,0.0,0.0,,0.0,2.0,2.0,1.0,2.0,1.0,,3.0,10.0,5.0,0.0,0.0,16.0,,,,,,,,,,,,,,,
167574843,Hiera,earthen-ring,12.0,698.0,100.0,,,100.0,,50.0,50.0,100.0,100.0,67.0,,0.0,50.0,33.0,0.0,100.0,,,1.0,,,1.0,,2.0,2.0,1.0,1.0,3.0,,1.0,2.0,3.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,2.0,,0.0,1.0,1.0,0.0,2.0,,,100.0,2.0,2.0,50.0,2.0,1.0,,,,,,,,,
123499752,Portoz,rashgarroth,16.0,1358.0,,,,33.0,,50.0,33.0,100.0,,67.0,,0.0,,100.0,,,67.0,,,,,3.0,,4.0,3.0,2.0,,3.0,,1.0,,1.0,,,3.0,,,,,1.0,,2.0,1.0,2.0,,2.0,,0.0,,1.0,,,2.0,,0.0,2.0,0.0,,,,,,,,,,,,
157872093,Câbêrt,ysondre,4.0,199.0,,,,,,,0.0,0.0,100.0,100.0,,,,,,0.0,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,0.0,0.0,2.0,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,
196074820,Fulmines,nemesis,2.0,385.0,,,,100.0,,,,,,0.0,,,,100.0,,100.0,0.0,,,,,2.0,,,,,,2.0,,,,1.0,,1.0,1.0,,,,,2.0,,,,,,0.0,,,,1.0,,1.0,0.0,,0.0,2.0,0.0,,,,,,,,,,,,
143857173,Vehlyr,kaelthas,6.0,808.0,0.0,,,100.0,,0.0,0.0,0.0,100.0,100.0,,,,100.0,100.0,0.0,100.0,,2.0,,,2.0,,1.0,2.0,2.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,0.0,,,2.0,,0.0,0.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,1.0,,100.0,1.0,1.0,,,,,,,,,,,,
92648418,Méynum,frostwolf,15.0,469.0,100.0,50.0,100.0,0.0,,100.0,,67.0,100.0,,0.0,,80.0,,,,,,1.0,4.0,3.0,1.0,,1.0,,3.0,1.0,,1.0,,5.0,,,,,,1.0,2.0,3.0,0.0,,1.0,,2.0,1.0,,0.0,,4.0,,,,,,,,,,,,,,,,,,,,
158075437,Auchenaya,das-syndikat,21.0,1911.0,,50.0,33.0,0.0,,100.0,78.0,40.0,50.0,67.0,50.0,100.0,,117.0,,,,,,10.0,3.0,1.0,,1.0,9.0,5.0,6.0,9.0,2.0,2.0,,6.0,,,,,,5.0,1.0,0.0,,1.0,7.0,2.0,3.0,6.0,1.0,2.0,,7.0,,,,,,,,,,,,,,,,,,,
