character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Eye of the Storm win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Deepwind Gorge win_rate,Alterac Valley played,Eye of the Storm played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Deepwind Gorge played,Alterac Valley won,Eye of the Storm won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Deepwind Gorge won,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Strand of the Ancients win_rate,Korrak's Revenge win_rate,Classic Warsong Gulch played,Classic Arathi Basin played,Strand of the Ancients played,Korrak's Revenge played,Classic Warsong Gulch won,Classic Arathi Basin won,Strand of the Ancients won,Korrak's Revenge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Ashran win_rate,Ashran played,Ashran won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Arathi Basin Winter win_rate,Arathi Basin Winter played,Arathi Basin Winter won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
247894298,Каэрвиль,azuregos,11.0,194.0,,100.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137177891,Heartfilia,norgannon,22.0,3935.0,83.0,40.0,100.0,20.0,43.0,67.0,71.0,,71.0,60.0,100.0,50.0,71.0,12.0,5.0,6.0,5.0,7.0,6.0,7.0,,7.0,5.0,1.0,4.0,7.0,10.0,2.0,6.0,1.0,3.0,4.0,5.0,,5.0,3.0,1.0,2.0,5.0,,,,,,,,,,,,,,,,100.0,6.0,6.0,0.0,1.0,0.0,,,,,,,,,
167888949,Bêxy,blackmoore,20.0,781.0,50.0,100.0,100.0,67.0,,0.0,100.0,,0.0,67.0,33.0,100.0,0.0,2.0,1.0,3.0,3.0,,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,,0.0,1.0,,0.0,2.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,0.0,2.0,0.0,,,,100.0,1.0,1.0,,,,,,
131403913,Weinbaron,malfurion,11.0,3041.0,75.0,43.0,50.0,57.0,33.0,60.0,44.0,,40.0,31.0,50.0,,40.0,4.0,7.0,2.0,14.0,12.0,10.0,9.0,,10.0,13.0,2.0,,10.0,3.0,3.0,1.0,8.0,4.0,6.0,4.0,,4.0,4.0,1.0,,4.0,,,,0.0,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,,,
125735493,Feeless,drakthul,48.0,14448.0,44.0,50.0,23.0,54.0,42.0,68.0,59.0,48.0,50.0,67.0,55.0,50.0,47.0,16.0,26.0,13.0,37.0,40.0,40.0,44.0,23.0,16.0,18.0,20.0,4.0,15.0,7.0,13.0,3.0,20.0,17.0,27.0,26.0,11.0,8.0,12.0,11.0,2.0,7.0,76.0,62.0,86.0,100.0,29.0,16.0,14.0,1.0,22.0,10.0,12.0,1.0,,,,100.0,1.0,1.0,,,,,,,,,,,,
177656718,Lightsbent,twisting-nether,21.0,85.0,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165323713,Velthaia,blackrock,18.0,50.0,,,0.0,,,,0.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,1.0,,,,,,,,,,,,
172365865,Холистраз,howling-fjord,8.0,832.0,,0.0,,,67.0,100.0,100.0,100.0,,0.0,,,,,3.0,,,3.0,1.0,1.0,2.0,,2.0,,,,,0.0,,,2.0,1.0,1.0,2.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,2.0,1.0,,,,,,
164926476,Tschivi,blackmoore,5.0,1074.0,,0.0,,100.0,0.0,0.0,,,67.0,0.0,0.0,50.0,50.0,,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,2.0,2.0,,0.0,,1.0,0.0,0.0,,,2.0,0.0,0.0,1.0,1.0,,,,100.0,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,
174415440,Showm,hyjal,8.0,2098.0,100.0,0.0,50.0,71.0,50.0,50.0,43.0,,75.0,33.0,80.0,0.0,40.0,1.0,2.0,2.0,7.0,4.0,4.0,7.0,,4.0,6.0,5.0,2.0,5.0,1.0,0.0,1.0,5.0,2.0,2.0,3.0,,3.0,2.0,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
