character.id,character.name,character.realm.slug,honor_level,honorable_kills,Alterac Valley win_rate,Classic Warsong Gulch win_rate,Classic Arathi Basin win_rate,Eye of the Storm win_rate,Strand of the Ancients win_rate,Isle of Conquest win_rate,Twin Peaks win_rate,Silvershard Mines win_rate,The Battle for Gilneas win_rate,Temple of Kotmogu win_rate,Deepwind Gorge (Legacy) win_rate,Alterac Valley played,Classic Warsong Gulch played,Classic Arathi Basin played,Eye of the Storm played,Strand of the Ancients played,Isle of Conquest played,Twin Peaks played,Silvershard Mines played,The Battle for Gilneas played,Temple of Kotmogu played,Deepwind Gorge (Legacy) played,Alterac Valley won,Classic Warsong Gulch won,Classic Arathi Basin won,Eye of the Storm won,Strand of the Ancients won,Isle of Conquest won,Twin Peaks won,Silvershard Mines won,The Battle for Gilneas won,Temple of Kotmogu won,Deepwind Gorge (Legacy) won,Ashran win_rate,Arathi Basin Winter win_rate,Seething Shore win_rate,Warsong Gulch win_rate,Arathi Basin win_rate,Battle for Wintergrasp win_rate,Korrak's Revenge win_rate,Deepwind Gorge win_rate,Ashran played,Arathi Basin Winter played,Seething Shore played,Warsong Gulch played,Arathi Basin played,Battle for Wintergrasp played,Korrak's Revenge played,Deepwind Gorge played,Ashran won,Arathi Basin Winter won,Seething Shore won,Warsong Gulch won,Arathi Basin won,Battle for Wintergrasp won,Korrak's Revenge won,Deepwind Gorge won,Arathi Basin Comp Stomp win_rate,Arathi Basin Comp Stomp played,Arathi Basin Comp Stomp won,Rated Eye of the Storm win_rate,Rated Eye of the Storm played,Rated Eye of the Storm won,Southshore vs. Tarren Mill win_rate,Southshore vs. Tarren Mill played,Southshore vs. Tarren Mill won,Cooking: Impossible win_rate,Cooking: Impossible played,Cooking: Impossible won
154304612,Profi,lordaeron,14.0,5311.0,0.0,60.0,0.0,0.0,,,25.0,100.0,100.0,25.0,100.0,3.0,5.0,2.0,1.0,,,4.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,,,,0.0,,0.0,,33.0,,,,1.0,,1.0,,3.0,,,,0.0,,0.0,,1.0,,,,,,,,,,,,
136530727,Naelius,tyrande,67.0,337.0,50.0,,,,,,,,100.0,,,4.0,,,,,,,,1.0,,,2.0,,,,,,,,1.0,,,0.0,,50.0,,100.0,0.0,,100.0,2.0,,2.0,,1.0,1.0,,1.0,0.0,,1.0,,1.0,0.0,,1.0,,,,,,,,,,,,
142293944,Naarushen,ysera,16.0,32.0,,,,100.0,,,,,,0.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114040818,Diem,hyjal,3.0,2445.0,80.0,33.0,33.0,60.0,25.0,67.0,50.0,,0.0,,,5.0,3.0,3.0,5.0,4.0,3.0,2.0,,1.0,,,4.0,1.0,1.0,3.0,1.0,2.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131280851,Albmeister,ragnaros,14.0,7264.0,47.0,58.0,57.0,52.0,50.0,27.0,58.0,64.0,69.0,40.0,43.0,15.0,24.0,7.0,33.0,10.0,11.0,12.0,11.0,13.0,20.0,21.0,7.0,14.0,4.0,17.0,5.0,3.0,7.0,7.0,9.0,8.0,9.0,,,67.0,89.0,83.0,33.0,,50.0,,,6.0,9.0,6.0,3.0,,6.0,,,4.0,8.0,5.0,1.0,,3.0,,,,,,,,,,,,
155662742,Arlaen,teldrassil,31.0,293.0,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,100.0,,,,,,,,1.0,,,,,,,,1.0,,100.0,1.0,1.0,,,,,,,,,
97113510,Lixor,elune,9.0,13269.0,72.0,48.0,43.0,63.0,56.0,50.0,45.0,0.0,33.0,67.0,50.0,47.0,64.0,88.0,35.0,27.0,32.0,11.0,4.0,6.0,3.0,4.0,34.0,31.0,38.0,22.0,15.0,16.0,5.0,0.0,2.0,2.0,2.0,100.0,,100.0,0.0,20.0,0.0,,100.0,1.0,,1.0,1.0,5.0,1.0,,1.0,1.0,,1.0,0.0,1.0,0.0,,1.0,,,,,,,,,,,,
140247153,Veldini,lightbringer,11.0,2480.0,0.0,,0.0,33.0,,33.0,67.0,0.0,0.0,62.0,0.0,2.0,,1.0,3.0,,3.0,3.0,2.0,2.0,8.0,1.0,0.0,,0.0,1.0,,1.0,2.0,0.0,0.0,5.0,0.0,80.0,,50.0,50.0,33.0,0.0,,50.0,5.0,,4.0,4.0,3.0,2.0,,4.0,4.0,,2.0,2.0,1.0,0.0,,2.0,,,,,,,,,,,,
121684042,Madóx,garrosh,13.0,3398.0,100.0,,,25.0,,0.0,50.0,57.0,41.0,58.0,,1.0,,,8.0,,1.0,8.0,7.0,17.0,19.0,,1.0,,,2.0,,0.0,4.0,4.0,7.0,11.0,,100.0,17.0,56.0,33.0,83.0,,,30.0,2.0,12.0,9.0,12.0,6.0,,,10.0,2.0,2.0,5.0,4.0,5.0,,,3.0,,,,,,,,,,,,
98870303,Shivanpally,draenor,19.0,2193.0,100.0,100.0,,50.0,,100.0,33.0,80.0,67.0,78.0,,1.0,1.0,,4.0,,3.0,6.0,5.0,3.0,9.0,,1.0,1.0,,2.0,,3.0,2.0,4.0,2.0,7.0,,100.0,0.0,100.0,100.0,50.0,100.0,,50.0,1.0,1.0,1.0,2.0,2.0,2.0,,4.0,1.0,0.0,1.0,2.0,1.0,2.0,,2.0,,,,,,,,,,100.0,1.0,1.0
131951906,Apendixx,blackmoore,5.0,677.0,,,,,,,100.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,0.0,,100.0,1.0,1.0,,,,,,,,,
147885254,Doryl,blackmoore,3.0,650.0,0.0,,,,,50.0,50.0,,0.0,50.0,,1.0,,,,,2.0,2.0,,1.0,2.0,,0.0,,,,,1.0,1.0,,0.0,1.0,,100.0,,50.0,,75.0,,,,1.0,,2.0,,4.0,,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,
192681831,Темиус,eversong,42.0,13459.0,44.0,,,45.0,,67.0,73.0,50.0,69.0,79.0,100.0,16.0,,,20.0,,12.0,15.0,12.0,13.0,19.0,1.0,7.0,,,9.0,,8.0,11.0,6.0,9.0,15.0,1.0,27.0,33.0,44.0,62.0,75.0,54.0,0.0,67.0,11.0,6.0,16.0,13.0,12.0,13.0,1.0,6.0,3.0,2.0,7.0,8.0,9.0,7.0,0.0,4.0,100.0,1.0,1.0,,,,,,,,,
