character.id,profile.name,profile.slug,score
160245808,Clodosacré,hyjal,712.1
173339966,Cheelsea,twisting-nether,598.7
117126099,Valliana,arakarahm,678.4
195951881,Ryru,hyjal,540.1
145966925,Alphakènyoné,thrall,576.1
174278102,Crôutasse,dalaran,1211.7
167780916,Tilikum,blackmoore,568.0
163181642,Delayer,azshara,882.8
127715506,Visenya,archimonde,406.1
144249570,Nerithium,argent-dawn,449.3
140514042,Belgarath,medivh,569.5
108470606,Silvershield,medivh,625.2
177041389,Penný,frostwhisper,478.9
135038905,Gylden,argent-dawn,483.6
157178571,Neithana,suramar,600.9
154607378,Chrønøs,quelthalas,217.3
81358390,Perciville,ravenholdt,580.7
210456939,Гретхарт,grom,368.3
116714685,Rexye,pozzo-delleternità,826.8
139295153,Gusti,hyjal,603.6
157772588,Malisin,die-ewige-wacht,888.0
176345972,Миланиий,blackscar,635.1
176309176,Psydoorf,burning-legion,843.4
197510854,Lakoss,hyjal,1082.6
161834165,Sílvër,colinas-pardas,674.1
155666602,Alicsa,teldrassil,816.4
116103895,Naylën,medivh,323.8
243883975,Каризма,azuregos,500.5
13133900,Reallyoldman,kul-tiras,641.7
137014636,Begor,nozdormu,405.7
208240427,Bifor,runetotem,458.3
132188272,Yenz,outland,704.3
157684522,Telperion,conseil-des-ombres,989.2
161166557,Perlite,conseil-des-ombres,1423.1
88738631,Matelina,sanguino,1415.9
140116630,Talang,tarren-mill,1330.9
68803876,Shivah,ravencrest,1314.3
148939936,Mxavenger,hyjal,1230.0
157755304,Ivs,stormscale,1095.6
166646735,Nifa,blackrock,1233.1
242124297,Просторожки,gordunni,954.5
122965064,Nimadin,doomhammer,1047.2
160013505,Ayven,dalaran,1114.3
115308648,Dodipala,antonidas,1178.7
156424854,Falixix,la-croisade-écarlate,1309.0
167133647,Котанскии,gordunni,1054.8
186561040,Cøcquibus,hyjal,834.3
89640903,Home,suramar,752.4
172702913,Glybof,dalaran,1029.9
174405317,Epicmaker,silvermoon,1265.8
195731446,Saltyarmpit,wildhammer,1202.4
154304612,Profi,lordaeron,1098.4
67125931,Bubblefurby,blackmoore,1136.6
77290827,Anajinn,pozzo-delleternità,957.4
153589468,Gris,kirin-tor,423.7
196164433,Zajfer,outland,921.5
176706158,Namisama,skullcrusher,769.8
116934164,Uzemnovac,magtheridon,1128.7
201069820,Нийонара,gordunni,877.8
110933993,Senio,medivh,806.6
152851945,Angaráto,gilneas,885.5
78209257,Арроя,fordragon,880.9
196793079,Halahk,grim-batol,929.7
174245101,Cerbérus,archimonde,686.5
189151295,Izir,silvermoon,882.4
91577469,Manalakh,medivh,634.2
154800738,Acidish,ravencrest,1093.0
108863539,Xïialla,ysondre,1195.9
155295970,Kezhio,colinas-pardas,724.1
109045252,Léópárdtánk,silvermoon,766.4
149674373,Kyrenna,elune,745.5
174826948,Ukki,die-aldor,1016.5
196575487,Dreufreu,hyjal,555.0
64187157,Müffinen,kazzak,1001.2
132657872,Shakys,sanguino,902.4
