Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Darkfrost Helmet,Sin Stained Pendant,Dread Sentinel's Ebony Spaulders,Abdominal Securing Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Splintered Heart of Al'ar,Shroud of the Penitent,Axe of the Deadgrove,Encrusted Canopic Lid,152424549,,
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestplate,Sinful Gladiator's Plate Greatbelt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Fleshfused Circle,Sinful Aspirant's Medallion,Sinful Aspirant's Badge of Ferocity,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,197012210,,Orgrimmar Tabard
Valorous Aegis Faceguard,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Shadowghast Sabatons,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Gluttonous Spike,Anima Field Emitter,Crest of the Legionnaire General,Sinful Aspirant's Sword,Sinful Aspirant's Barrier,149429548,,
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Sinful Gladiator's Plate Wargreaves,Baetheas' Ironclad Warboots,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Hyperlight Band,Blood-Spattered Scale,Slimy Consumptive Organ,Decadent Nathrian Shawl,Supercollider,Sinful Aspirant's Barrier,172780875,Captain Sanders' Shirt,Tabard of the Lightbringer
Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Shadowghast Greaves,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Decadent Nathrian Shawl,Sinsmasher,Barricade of the Endless Empire,136938662,,
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,199152184,Precious' Ribbon,Renowned Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Most Regal Signet of Sire Denathrius,Death God's Signet,Splintered Heart of Al'ar,Sanguine Vintage,Drape of Twisted Loyalties,Ascended Gladius of Glory,Acidslough Bulwark,174684116,Artisan Officer's Shirt,Tabard of the Wyrmrest Accord
Shadowghast Helm,Noble's Birthstone Pendant,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Hyperlight Band,Signet of the False Accuser,Anima Field Emitter,Inscrutable Quantum Device,Crest of the Legionnaire General,Sinsmasher,Barricade of the Endless Empire,181483376,,
Darkfrost Helmet,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Stone Legion Heraldry,Crest of the Legionnaire General,Sinful Gladiator's Xiphos,Elysian Sentinel's Aegis,157739997,,
Sinful Gladiator's Plate Helmet,Charm of Eternal Winter,Sinful Gladiator's Plate Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Anima Field Emitter,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Engorged Worm Smasher,Sinful Gladiator's Guard,150966994,,Renowned Guild Tabard
Wrathbark Greathelm,Noble's Birthstone Pendant,Vile Butcher's Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Arachnid Cipher Ring,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,174647507,,Darkspear Tabard
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Selfless Collector's Warboots,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Ritual Bone Band,Sinful Aspirant's Medallion,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,170168519,,
Shadowghast Helm,Sinful Gladiator's Necklace,Prankster's Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Ardent Sunstar Signet,Signet of the False Accuser,Slimy Consumptive Organ,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Encrusted Canopic Lid,161326580,,Argussian Reach Tabard
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,124075730,,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Acidslough Bulwark,121215316,,
Wing Commander's Helmet,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Band of the Risen Bonelord,Ritualist's Treasured Ring,Blood-Spattered Scale,Inscrutable Quantum Device,Cowled Batwing Cloak,Ascended Gladius of Glory,Elysian Sentinel's Aegis,146163442,Blue Linen Shirt,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Bloodoath Signet,Most Regal Signet of Sire Denathrius,Pulsating Stoneheart,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,181459140,Gorestained Tunic,Argent Crusader's Tabard
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Bloodoath Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,113998456,,Stone Guard's Herald
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Bloodoath Signet,Macabre Sheet Music,Blood-Spattered Scale,Blighted Margrave's Cloak,Supercollider,Acidslough Bulwark,153124171,Precious' Ribbon,
Wing Commander's Helmet,Muckformed Chain Choker,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Entwined Gorger Tendril,Most Regal Signet of Sire Denathrius,Darkmoon Deck: Indomitable,Sanguine Vintage,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,158669008,,
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Fallen Templar's Gauntlets,Arachnid Cipher Ring,Ardent Sunstar Signet,Blood-Spattered Scale,Spare Meat Hook,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,175140320,,
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,161671342,Artisan Officer's Shirt,Tabard of the Explorer
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Gluttonous Spike,Pulsating Stoneheart,Drape of Twisted Loyalties,Axe of the Deadgrove,Sylvan Whiteshield,90736280,,Tabard of the Explorer
Plague Handler's Greathelm,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Selfless Collector's Legguards,Valinor's Ground Pounders,Pit Fighter's Wristguards,Selfless Collector's Gauntlets,Sinful Gladiator's Signet,Ritual Bone Band,Blood-Spattered Scale,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,116408120,,
