Head,Neck,Shoulders,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Shirt,Tabard
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Stone Legion Heraldry,Cowled Batwing Cloak,Supercollider,Encrusted Canopic Lid,91221822,,
Wrathbark Greathelm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Gormshell Greaves,Shadowghast Sabatons,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Mantle of Manifest Sins,Sophisticated Bonecracker,Acidslough Bulwark,74088509,Tailored Officer's Shirt,Guild Tabard
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Cautious Calculation,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Death God's Signet,Sinful Gladiator's Ring,Gluttonous Spike,Blood-Spattered Scale,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,175702096,,
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Macabre Sheet Music,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sacred Sparrer's Edge,Barricade of the Endless Empire,13529412,Formal White Shirt,Renowned Guild Tabard
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Ritual Commander's Ring,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Supercollider,Encrusted Canopic Lid,188016033,Tuxedo-Like Shirt,Nightfallen Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Death God's Signet,Most Regal Signet of Sire Denathrius,Blood-Spattered Scale,Pulsating Stoneheart,Cowled Batwing Cloak,Ascended Gladius of Glory,Acidslough Bulwark,129841285,Undisputed Champion's Shirt,Argent Crusader's Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Gorestained Cleaver,Acidslough Bulwark,125380885,,
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Fleshfused Circle,Blood-Spattered Scale,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,11679284,Artisan Officer's Shirt,Tabard of the Honorbound
Wing Commander's Helmet,Sinful Gladiator's Necklace,Prankster's Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Sinful Gladiator's Signet,Bloodoath Signet,Darkmoon Deck: Voracity,Sinful Aspirant's Insignia of Alacrity,Sinful Gladiator's Shawl,Sophisticated Bonecracker,Sinful Gladiator's Guard,166659456,Fashionable Undershirt,Tabard of Frost
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Bracers of the Tenebrous Retinue,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Sinful Gladiator's Insignia of Alacrity,Splintered Heart of Al'ar,Crest of the Legionnaire General,Supercollider,Acidslough Bulwark,120136583,,Argent Crusader's Tabard
Diadem of Imperious Desire,Charm of Eternal Winter,Prankster's Pauldrons,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Shadowghast Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Gluttonous Spike,Slimy Consumptive Organ,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,156092404,,Ironforge Tabard
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Ardent Sunstar Signet,Signet of the False Accuser,Darkmoon Deck: Indomitable,Blood-Spattered Scale,Decadent Nathrian Shawl,Engorged Worm Smasher,Barricade of the Endless Empire,97350006,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Death God's Signet,Ring of Perpetual Conflict,Blood-Spattered Scale,Overwhelming Power Crystal,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,79324335,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fleshfused Crushers,Fleshfused Circle,Hyperlight Band,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sinsmasher,Encrusted Canopic Lid,147410169,,Court of Harvesters Tabard
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Guilewind Stone Talons,Ritual Commander's Ring,Entwined Gorger Tendril,Gluttonous Spike,Blood-Spattered Scale,Drape of Twisted Loyalties,Sophisticated Bonecracker,Sinful Gladiator's Guard,88359394,,
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fogweaver Gauntlets,Hyperlight Band,Death God's Signet,Anima Field Emitter,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,119268203,,
Wrathbark Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Distorted Construct's Gauntlets,Hyperlight Band,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,173950735,,
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Bloodoath Signet,Hyperlight Band,Hymnal of the Path,Gluttonous Spike,Cowled Batwing Cloak,Sacred Sparrer's Edge,Chyrus's Crest of Hope,99843945,Antiseptic-Soaked Dressing,Tabard of the Earthen Ring
Wrathbark Greathelm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Shadowghast Ring,Death God's Signet,Blood-Spattered Scale,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Aspirant's Barrier,136601841,,Silvermoon City Tabard
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,Acidslough Bulwark,175769732,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Binding of Warped Desires,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Ritual Bone Band,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Cowled Batwing Cloak,Ascended Gladius of Glory,Acidslough Bulwark,165962447,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Anima Field Emitter,Mantle of Manifest Sins,Gorestained Cleaver,Acidslough Bulwark,79870080,Artisan Officer's Shirt,Renowned Guild Tabard
Diadem of Imperious Desire,Charm of Eternal Winter,Epaulettes of Overwhelming Force,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Xandria's Kopis of Courage,Chyrus's Crest of Hope,162944869,Squire's Shirt,Renowned Guild Tabard
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Muckwallow Stompers,Hellhound Cuffs,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Anima Field Emitter,Slimy Consumptive Organ,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,166941979,,
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritual Bone Band,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,92792216,,
Plague Handler's Greathelm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Abdominal Securing Chestguard,Stonebark Girdle,Endlessly Gluttonous Greaves,Valinor's Ground Pounders,Vambraces of the Depraved Warden,Guilewind Stone Talons,Band of the Risen Bonelord,Shadowghast Ring,Blood-Spattered Scale,Slimy Consumptive Organ,Drape of Twisted Loyalties,Supercollider,Encrusted Canopic Lid,139767733,Precious' Ribbon,Guild Tabard
Darkfrost Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Hyperlight Band,Slimy Consumptive Organ,Blood-Spattered Scale,Crest of the Legionnaire General,Engorged Worm Smasher,Elysian Sentinel's Aegis,149506563,Fashionable Undershirt,Tabard of the Lightbringer
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Ceremonial Parade Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Colossal Plate Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Splintered Heart of Al'ar,Pulsating Stoneheart,Blighted Margrave's Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,178894040,,Tabard of the Wyrmrest Accord
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Rampaging Giant's Chestplate,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Death God's Signet,Ritualist's Treasured Ring,Decanter of Anima-Charged Winds,Overwhelming Power Crystal,Blighted Margrave's Cloak,Supercollider,Chyrus's Crest of Hope,76523603,Fashionable Undershirt,Tabard of the Shattered Sun
Wing Commander's Helmet,Charm of Eternal Winter,Pauldrons of Unleashed Pride,Breastplate of Cautious Calculation,Shadowghast Waistguard,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Bloodoath Signet,Phial of Putrefaction,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Engorged Worm Smasher,Elysian Sentinel's Aegis,172600140,Gorgeous Blouse,Illustrious Guild Tabard
Sinful Gladiator's Plate Helm,Muckformed Chain Choker,Unyielding Combatant's Pauldrons,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Fleshfused Circle,Viscera of Coalesced Hatred,Blood-Spattered Scale,Asimov's Drape,Titanguard,Barricade of the Endless Empire,167083481,,
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Sinful Gladiator's Plate Wargreaves,Sinful Aspirant's Plate Warboots,Shoulderblade Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Sinful Aspirant's Ring,Sinful Aspirant's Medallion,Sinful Gladiator's Emblem,Drape of Twisted Loyalties,Sophisticated Bonecracker,Elysian Sentinel's Aegis,161350120,,
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Stonebark Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Pulsating Stoneheart,Overwhelming Power Crystal,Drape of Twisted Loyalties,Sophisticated Bonecracker,Elysian Sentinel's Aegis,156967572,Precious' Ribbon,Tabard of the Lightbringer
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Legguards,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,166721640,Yellow Martial Shirt,Orgrimmar Tabard
Wrathbark Greathelm,Reinforced High Collar,Shadowghast Pauldrons,Tharatos' Charred Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Signet,Ardent Sunstar Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,165296752,,
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Inscrutable Quantum Device,Blood-Spattered Scale,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,83219920,Fashionable Undershirt,Silvermoon City Tabard
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Abdominal Securing Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Pit Fighter's Wristguards,Fogweaver Gauntlets,Ritual Commander's Ring,Hyperlight Band,Blood-Spattered Scale,Gluttonous Spike,Cowled Batwing Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,147474998,Artisan Officer's Shirt,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Binding of Warped Desires,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Colossal Plate Gauntlets,Bloodoath Signet,Signet of the False Accuser,Blood-Spattered Scale,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Legacy of Thunder,Elysian Sentinel's Aegis,129396024,,
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,Rampaging Giant's Chestplate,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Reality-Shatter Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Ritual Commander's Ring,Overwhelming Power Crystal,Anima Field Emitter,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Acidslough Bulwark,197906130,,
Diadem of Imperious Desire,Charm of Eternal Winter,Prankster's Pauldrons,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Hyperlight Band,Splintered Heart of Al'ar,Sanguine Vintage,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,165164982,,Tabard of Ramkahen
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Entwined Gorger Tendril,Ritual Bone Band,Viscera of Coalesced Hatred,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,175271661,Master Builder's Shirt,Tabard of the Ascended
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Band of the Risen Bonelord,Blood-Spattered Scale,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Engorged Worm Smasher,Barricade of the Endless Empire,118225858,Precious' Ribbon,Tabard of the Lightbringer
Wing Commander's Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Sinful Gladiator's Ring,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Spare Meat Hook,Shroud of the Penitent,Supercollider,Sinful Gladiator's Guard,47595649,Irradiated Undercoat,Tabard of the Ascended
Shadowghast Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Gormshell Greaves,Errant Crusader's Greaves,Selfless Collector's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Darkmoon Deck: Voracity,Gluttonous Spike,Cowled Batwing Cloak,Engorged Worm Smasher,Barricade of the Endless Empire,93921397,Sharkskin Tunic,
Plague Handler's Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Gormshell Greaves,Baetheas' Ironclad Warboots,Soldier's Stoneband Wristguards,Fallen Templar's Gauntlets,Bloodoath Signet,Arachnid Cipher Ring,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,156311661,,Tabard of the Dragonmaw Clan
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Selfless Collector's Warboots,Shoulderblade Vambraces,Guilewind Stone Talons,Ritualist's Treasured Ring,Bloodoath Signet,Decanter of Anima-Charged Winds,Anima Field Emitter,Drape of Twisted Loyalties,Klontzas' Precise Pummeler,Acidslough Bulwark,140130419,,
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Splintered Heart of Al'ar,Grim Codex,Cloak of Enveloping Manifestations,Sinsmasher,Chyrus's Crest of Hope,161897582,,
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Gorestained Cleaver,Chyrus's Crest of Hope,193148121,,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Band of the Risen Bonelord,Arachnid Cipher Ring,Inscrutable Quantum Device,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,161025566,,
Darkfrost Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Muckwallow Stompers,Hellhound Cuffs,Fogweaver Gauntlets,Death God's Signet,Ritual Bone Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Mantle of Manifest Sins,Engorged Worm Smasher,Acidslough Bulwark,176081945,,
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,Encrusted Canopic Lid,76947846,,
