Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,character.id,Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Sleeveless T-Shirt,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Muckwallow Stompers,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Death God's Signet,Hyperlight Band,Splintered Heart of Al'ar,Anima Field Emitter,Mantle of Manifest Sins,Engorged Worm Smasher,Encrusted Canopic Lid,131280851,
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Selfless Collector's Chestplate,Fused Bone Greatbelt,Legplates of Unholy Frenzy,Dynamo Doomstompers,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Signet of the False Accuser,Band of the Risen Bonelord,Hymnal of the Path,Darkmoon Deck: Voracity,Dealer Xy'exa's Cape,Engorged Worm Smasher,Encrusted Canopic Lid,155662742,
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Death God's Signet,Blood-Spattered Scale,Gluttonous Spike,Drape of Twisted Loyalties,Sophisticated Bonecracker,Barricade of the Endless Empire,97113510,Argent Crusader's Tabard
Darkfrost Helmet,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fallen Templar's Gauntlets,Signet of the False Accuser,Ardent Sunstar Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Gorestained Cleaver,Acidslough Bulwark,140247153,Renowned Guild Tabard
Wing Commander's Helmet,Trailspinner Pendant,Unyielding Combatant's Pauldrons,Purple Martial Shirt,Breastplate of Otherworldly Influence,Binding of Warped Desires,Plated Leggings of Ruination,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Shadowghast Gauntlets,Ritual Bone Band,Hyperlight Band,Blood-Spattered Scale,Sinful Aspirant's Badge of Ferocity,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,121684042,Illustrious Guild Tabard
Shieldguard's Greathelm,Sinful Aspirant's Pendant,Shadowghast Pauldrons,Ebon Filigreed Shirt,Sinful Gladiator's Plate Chestplate,Fused Bone Greatbelt,Selfless Collector's Legguards,Sinful Gladiator's Plate Warboots,Pit Fighter's Wristguards,Sinful Gladiator's Plate Handguards,Entwined Gorger Tendril,Ritual Commander's Ring,Sinful Aspirant's Medallion,Sinful Gladiator's Insignia of Alacrity,Decadent Nathrian Shawl,Sinful Gladiator's Xiphos,Sinful Aspirant's Barrier,98870303,Warsong Battle Tabard
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Binding of Warped Desires,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Shieldguard's Gauntlets,Band of the Risen Bonelord,Ritualist's Treasured Ring,Decanter of Anima-Charged Winds,Viscera of Coalesced Hatred,Crest of the Legionnaire General,Sacred Sparrer's Edge,Encrusted Canopic Lid,131951906,
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Paper Shirt,Chestplate of the March Warden,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Gluttonous Spike,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,147885254,
Wing Commander's Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Artisan Member's Shirt,Abdominal Securing Chestguard,Sinful Gladiator's Plate Greatbelt,Sinful Aspirant's Plate Legguards,Sinful Gladiator's Plate Stompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Signet,Sinful Gladiator's Ring,Sinful Aspirant's Emblem,Splintered Heart of Al'ar,Sinful Gladiator's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,192681831,Renowned Guild Tabard
Oversized Centurion Helm,Trailspinner Pendant,Vile Butcher's Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Death God's Signet,Spare Meat Hook,Macabre Sheet Music,Dealer Xy'exa's Cape,Engorged Worm Smasher,Acidslough Bulwark,183667755,
Darkfrost Helmet,Charm of Eternal Winter,Vile Butcher's Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Galvanized Oxxein Legguards,Shadowghast Sabatons,Hellhound Cuffs,Distorted Construct's Gauntlets,Ritual Bone Band,Bloodoath Signet,Blood-Spattered Scale,Sanguine Vintage,Mantle of Manifest Sins,Sophisticated Bonecracker,Barricade of the Endless Empire,121187188,
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Red Linen Shirt,Abdominal Securing Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Pulsating Stoneheart,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Engorged Worm Smasher,Barricade of the Endless Empire,164840523,
Plague Handler's Greathelm,Trailspinner Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Signet of the False Accuser,Hyperlight Band,Slimy Consumptive Organ,Blood-Spattered Scale,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,194703181,Orgrimmar Tabard
Plague Handler's Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Fashionable Undershirt,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Sinful Gladiator's Signet,Bargast's Leash,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Sinful Gladiator's Redoubt,139802548,Argent Crusader's Tabard
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Chestplate of Titanic Fury,Stoic Guardsman's Belt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Ritual Commander's Ring,Darkmoon Deck: Indomitable,Bladedancer's Armor Kit,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,32092337,
