Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Fashionable Undershirt,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fleshfused Crushers,Death God's Signet,Ritual Bone Band,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,Huojin Tabard,162416420
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Colossal Plate Gauntlets,Signet of the False Accuser,Ardent Sunstar Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sinsmasher,Barricade of the Endless Empire,Guild Tabard,174684151
Wrathbark Greathelm,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Stoneguard Attendant's Boots,Shadowghast Armguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Encrusted Canopic Lid,,162360973
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Fashionable Undershirt,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Ardent Sunstar Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Crest of the Legionnaire General,Sophisticated Bonecracker,Sinful Gladiator's Guard,,154654822
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Rampaging Giant's Chestplate,Binding of Warped Desires,Ceremonial Parade Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Colossal Plate Gauntlets,Ardent Sunstar Signet,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,,165063840
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Most Regal Signet of Sire Denathrius,Signet of the False Accuser,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Sinful Gladiator's Drape,Sophisticated Bonecracker,Acidslough Bulwark,,120178573
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Rampaging Giant's Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Orgrimmar Tabard,194396987
Diadem of Imperious Desire,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Wraps of the Blood-Soaked Brawler,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Stoneguard Attendant's Boots,Hellhound Cuffs,Fogweaver Gauntlets,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Crest of the Legionnaire General,Axe of the Deadgrove,Stonewrought Gargoyles Barrier,Tabard of the Lightbringer,79989501
Darkfrost Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Sinful Gladiator's Drape,Axe of the Deadgrove,Elysian Sentinel's Aegis,,154220855
Wing Commander's Helmet,Sin Stained Pendant,Sinful Gladiator's Plate Pauldrons,,Abdominal Securing Chestguard,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Drape of Twisted Loyalties,Supercollider,Acidslough Bulwark,,184227887
Plague Handler's Greathelm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Fallen Templar's Gauntlets,Bloodoath Signet,Signet of the False Accuser,Sanguine Vintage,Overwhelming Power Crystal,Crest of the Legionnaire General,Engorged Worm Smasher,Chyrus's Crest of Hope,,81214680
Shadowghast Helm,Sinful Gladiator's Necklace,Unyielding Combatant's Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Arachnid Cipher Ring,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,245287039
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Gauntlets,Stitchflesh's Misplaced Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Blood-Spattered Scale,Decadent Nathrian Shawl,Xandria's Kopis of Courage,Barricade of the Endless Empire,Silvermoon City Tabard,164232595
Wing Commander's Helmet,Trailspinner Pendant,Sinful Gladiator's Plate Pauldrons,,Rampaging Giant's Chestplate,Fused Bone Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Entwined Gorger Tendril,Ritualist's Treasured Ring,Sanguine Vintage,Stone Legion Heraldry,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,,160597285
Wing Commander's Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Shoulders,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Legplates of Unholy Frenzy,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Sinful Gladiator's Ring,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Mantle of Manifest Sins,Sophisticated Bonecracker,Sinful Gladiator's Guard,Tabard of the Lightbringer,162603998
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Paper Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Ritualist's Treasured Ring,Bargast's Leash,Anima Field Emitter,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Elysian Sentinel's Aegis,Argent Crusader's Tabard,42015450
Shadowghast Helm,Sinful Gladiator's Necklace,Pauldrons of Unleashed Pride,,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Guilewind Stone Talons,Ritual Bone Band,Death God's Signet,Blood-Spattered Scale,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Engorged Worm Smasher,Elysian Sentinel's Aegis,,185742940
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Binding of Warped Desires,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Blighted Margrave's Cloak,Gorestained Cleaver,Chyrus's Crest of Hope,,193148121
