Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Rampaging Giant's Chestplate,Binding of Warped Desires,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,Renowned Guild Tabard,93539639
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Bloodoath Signet,Death God's Signet,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Zandalari,195306100
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Reality-Shatter Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Hyperlight Band,Blood-Spattered Scale,Anima Field Emitter,Drape of Twisted Loyalties,Sinsmasher,Encrusted Canopic Lid,Guild Tabard,135982257
Wing Commander's Helmet,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Shadowghast Ring,Gluttonous Spike,Blood-Spattered Scale,Cowled Batwing Cloak,Sinsmasher,Encrusted Canopic Lid,Renowned Guild Tabard,104407874
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Prankster's Pauldrons,Last Season's Shirt,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Sinful Gladiator's Plate Wristguards,Fleshfused Crushers,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Stone Legion Heraldry,Sinful Aspirant's Insignia of Alacrity,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,Illustrious Guild Tabard,141205383
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Crest of the Legionnaire General,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Scarlet Crusade,164716871
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Sinful Gladiator's Plate Greatbelt,Sinful Gladiator's Plate Wargreaves,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Death God's Signet,Bloodoath Signet,Blood-Spattered Scale,Stone Legion Heraldry,Sinful Aspirant's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,,194402900
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Reality-Shatter Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,,241903163
Diadem of Imperious Desire,Charm of Eternal Winter,Vile Butcher's Pauldrons,Wraps of the Blood-Soaked Brawler,Breastplate of Cautious Calculation,Binding of Warped Desires,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Shadowghast Gauntlets,Most Regal Signet of Sire Denathrius,Stitchflesh's Misplaced Signet,Gluttonous Spike,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,,165583156
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Soldier's Stoneband Wristguards,Hardened Castle Crushers,Death God's Signet,Ardent Sunstar Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Chyrus's Crest of Hope,Tabard of the Ascended,193668722
