Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Hardened Castle Crushers,Signet of the False Accuser,Ritualist's Treasured Ring,Sinful Gladiator's Insignia of Alacrity,Inscrutable Quantum Device,Drape of Twisted Loyalties,"Zin'khas, Blade of the Fallen God",,,188921030
Wrathbark Greathelm,Muckformed Chain Choker,Prankster's Pauldrons,,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Bloodoath Signet,Shadowghast Ring,Stone Legion Heraldry,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Acidslough Bulwark,,155155301
Shadowghast Helm,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Stonebark Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Ritual Bone Band,Bladedancer's Armor Kit,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Illustrious Guild Tabard,184124373
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,,Sinful Aspirant's Plate Chestplate,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Signet of the False Accuser,Pulsating Stoneheart,Blood-Spattered Scale,Mantle of Manifest Sins,Engorged Worm Smasher,Barricade of the Endless Empire,,157489989
Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,Initiate's Shirt,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Fleshfused Circle,Pulsating Stoneheart,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of Ramkahen,114033203
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Captain Sanders' Shirt,Selfless Collector's Chestplate,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Selfless Collector's Wristguards,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Axe of the Deadgrove,Barricade of the Endless Empire,,185663836
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Legplates of Unholy Frenzy,Warboots of Ruthless Conviction,Hellhound Cuffs,Hardened Castle Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Anima Field Emitter,Pulsating Stoneheart,Shroud of the Penitent,Legacy of Thunder,Barricade of the Endless Empire,,196498655
Wing Commander's Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Blood-Spattered Scale,Sanguine Vintage,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,193422416
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Selfless Collector's Chestplate,Shieldguard's Girdle,Selfless Collector's Legguards,Baetheas' Ironclad Warboots,Selfless Collector's Wristguards,Hardened Castle Crushers,Signet of the False Accuser,Ritual Bone Band,Darkmoon Deck: Indomitable,Anima Field Emitter,Selfless Collector's Greatcloak,Sinsmasher,Acidslough Bulwark,,165658330
Darkfrost Helmet,Azure-Venom Choker,Unyielding Combatant's Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Muckwallow Stompers,Shadowghast Armguards,Fogweaver Gauntlets,Entwined Gorger Tendril,Signet of the False Accuser,Bladedancer's Armor Kit,Blood-Spattered Scale,Blighted Margrave's Cloak,Sophisticated Bonecracker,Kudebeh's Remarkable Targe,,241368728
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Brutal Dissonance,Selfless Collector's Girdle,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Shadowghast Ring,Darkmoon Deck: Voracity,Viscera of Coalesced Hatred,Drape of Twisted Loyalties,Sophisticated Bonecracker,Acidslough Bulwark,,176309176
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Hellhound Cuffs,Sapsteel Gauntlets,Ritual Bone Band,Twisted Witherroot Band,Spare Meat Hook,Pulsating Stoneheart,Drape of Twisted Loyalties,Gorestained Cleaver,Acidslough Bulwark,,161780229
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Fashionable Undershirt,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Anima Field Emitter,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,Tabard of the Lightbringer,118072551
Casque of the Path,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Last Season's Shirt,Abdominal Securing Chestguard,Selfless Collector's Girdle,Galvanized Oxxein Legguards,Valinor's Ground Pounders,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Band of the Risen Bonelord,Shadowghast Ring,Darkmoon Deck: Voracity,Blood-Spattered Scale,Cowled Batwing Cloak,Axe of the Deadgrove,Acidslough Bulwark,Orgrimmar Tabard,106865611
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Wound Dressing,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Anima Field Emitter,Viscera of Coalesced Hatred,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,,124066849
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Binding of Warped Desires,Galvanized Oxxein Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Colossal Plate Gauntlets,Fleshfused Circle,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Viscera of Coalesced Hatred,Selfless Collector's Greatcloak,Sinsmasher,Barricade of the Endless Empire,,143874171
Oversized Centurion Helm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Girdle of the Soulflayer,Galvanized Oxxein Legguards,Muckwallow Stompers,Pit Fighter's Wristguards,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Commander's Ring,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Sinsmasher,Acidslough Bulwark,,161709847
Shadowghast Helm,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Brutal Dissonance,Stonebark Girdle,Ceremonial Parade Legguards,Sinful Gladiator's Plate Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Signet of the False Accuser,Ritual Commander's Ring,Darkmoon Deck: Voracity,Sinful Aspirant's Insignia of Alacrity,Drape of Twisted Loyalties,Reaver of Renewed Resolve,Barricade of the Endless Empire,,156965162
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Scarlet Filigreed Doublet,Tharatos' Charred Chestplate,Binding of Warped Desires,Selfless Collector's Legguards,Errant Crusader's Greaves,Soldier's Stoneband Wristguards,Selfless Collector's Gauntlets,Hyperlight Band,Muirnne's Stormforged Signet,Bladedancer's Armor Kit,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,168876761
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Sinful Gladiator's Ring,Death God's Signet,Bladedancer's Armor Kit,Pulsating Stoneheart,Blighted Margrave's Cloak,Sinsmasher,Acidslough Bulwark,,188927309
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Slimy Consumptive Organ,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,244281072
Darkfrost Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stonebark Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Twisted Witherroot Band,Viscera of Coalesced Hatred,Bargast's Leash,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Ascended,68967324
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Selfless Collector's Chestplate,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Fogweaver Gauntlets,Hyperlight Band,Twisted Witherroot Band,Splintered Heart of Al'ar,Darkmoon Deck: Indomitable,Decadent Nathrian Shawl,Supercollider,Acidslough Bulwark,,124231881
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Stonebark Girdle,Ceremonial Parade Legguards,Errant Crusader's Greaves,Pit Fighter's Wristguards,Fogweaver Gauntlets,Sinful Gladiator's Ring,Arachnid Cipher Ring,Slimy Consumptive Organ,Gluttonous Spike,Cowled Batwing Cloak,Sinsmasher,Dredge-Giant's Warshield,,76866964
