Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fogweaver Gauntlets,Death God's Signet,Stitchflesh's Misplaced Signet,Overwhelming Power Crystal,Inscrutable Quantum Device,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Encrusted Canopic Lid,Tabard of the Ascended,237886091
Diadem of Imperious Desire,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Binding of Warped Desires,Galvanized Oxxein Legguards,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Ritual Commander's Ring,Sinful Gladiator's Ring,Slimy Consumptive Organ,Sinful Gladiator's Insignia of Alacrity,Sinful Gladiator's Drape,Sinful Gladiator's Xiphos,Sinful Gladiator's Guard,,123868237
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Rampaging Giant's Chestplate,Sinful Gladiator's Plate Girdle,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Vambraces of the Depraved Warden,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Overwhelming Power Crystal,Cowled Batwing Cloak,Xandria's Kopis of Courage,Sinful Gladiator's Guard,Renowned Guild Tabard,165361128
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Stoneguard Attendant's Boots,Shoulderblade Vambraces,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Blood-Spattered Scale,Anima Field Emitter,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,113463618
Diadem of Imperious Desire,Sinful Gladiator's Amulet,Shadowghast Pauldrons,Brucehide Jersey,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Ceremonial Parade Legguards,Warboots of Ruthless Conviction,Sinful Gladiator's Plate Vambraces,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Ritualist's Treasured Ring,Pulsating Stoneheart,Inscrutable Quantum Device,Sinful Gladiator's Drape,Sophisticated Bonecracker,Sinful Gladiator's Guard,Exodar Tabard,155434096
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Precious' Ribbon,Tharatos' Charred Chestplate,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Sinful Gladiator's Plate Handguards,Signet of the False Accuser,Sinful Gladiator's Ring,Sinful Gladiator's Insignia of Alacrity,Anima Field Emitter,Blighted Margrave's Cloak,Engorged Worm Smasher,Sinful Gladiator's Guard,Tabard of the Explorer,122174118
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Stonebark Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Ring of Perpetual Conflict,Pulsating Stoneheart,Overwhelming Power Crystal,Drape of Twisted Loyalties,Sophisticated Bonecracker,Elysian Sentinel's Aegis,Tabard of the Lightbringer,156967572
Shadowghast Helm,Sinful Gladiator's Necklace,Vile Butcher's Pauldrons,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Selfless Collector's Legguards,Muckwallow Stompers,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Sinful Gladiator's Band,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Macabre Sheet Music,Blighted Margrave's Cloak,Sinsmasher,Sinful Gladiator's Guard,,192525940
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Scarlet Filigreed Doublet,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Gormshell Greaves,Errant Crusader's Greaves,Shieldguard's Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Band of the Risen Bonelord,Pulsating Stoneheart,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sinsmasher,Barricade of the Endless Empire,,158103307
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Last Season's Shirt,Rampaging Giant's Chestplate,Waistguard of Expurged Anguish,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fleshfused Crushers,Death God's Signet,Ardent Sunstar Signet,Blood-Spattered Scale,Bargast's Leash,Cowled Batwing Cloak,Ascended Gladius of Glory,Chyrus's Crest of Hope,Argent Crusader's Tabard,79069719
Diadem of Imperious Desire,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Band of the Risen Bonelord,Inscrutable Quantum Device,Splintered Heart of Al'ar,Drape of Twisted Loyalties,Axe of the Deadgrove,Barricade of the Endless Empire,,160425231
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Irradiated Undercoat,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Gormshell Greaves,Dynamo Doomstompers,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ritual Bone Band,Signet of the False Accuser,Anima Field Emitter,Sanguine Vintage,Crest of the Legionnaire General,Sinsmasher,Acidslough Bulwark,Argent Crusader's Tabard,93928802
Wrathbark Greathelm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Shadowghast Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Hardened Castle Crushers,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,Renowned Guild Tabard,186403626
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Bloodoath Signet,Death God's Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Mantle of Manifest Sins,Gorestained Cleaver,Encrusted Canopic Lid,,156588818
Darkfrost Helmet,Noble's Birthstone Pendant,Unyielding Combatant's Pauldrons,Acolyte's Shirt,Rampaging Giant's Chestplate,Binding of Warped Desires,Shadowghast Greaves,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Hyperlight Band,Arachnid Cipher Ring,Stone Legion Heraldry,Macabre Sheet Music,Cowled Batwing Cloak,Ascended Gladius of Glory,Elysian Sentinel's Aegis,Argent Crusader's Tabard,144961293
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Selfless Collector's Chestplate,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Signet of the False Accuser,Twisted Witherroot Band,Decanter of Anima-Charged Winds,Blood-Spattered Scale,Decadent Nathrian Shawl,Xandria's Kopis of Courage,Acidslough Bulwark,Renowned Guild Tabard,193962498
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Brutal Dissonance,Fused Bone Greatbelt,Gormshell Greaves,Errant Crusader's Greaves,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Signet of the False Accuser,Bloodoath Signet,Slimy Consumptive Organ,Overwhelming Power Crystal,Dealer Xy'exa's Cape,Sinsmasher,Barricade of the Endless Empire,,20764750
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Shoulderblade Vambraces,Sinful Gladiator's Plate Handguards,Arachnid Cipher Ring,Sinful Gladiator's Ring,Gluttonous Spike,Anima Field Emitter,Drape of Twisted Loyalties,Sinsmasher,Barricade of the Endless Empire,Tabard of the Ascended,136530727
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Ceremonial Parade Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Colossal Plate Gauntlets,Ritualist's Treasured Ring,Signet of the False Accuser,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Explorer,161671342
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Artisan Officer's Shirt,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Signet of the False Accuser,Inscrutable Quantum Device,Gluttonous Spike,Cloak of Enveloping Manifestations,Supercollider,Acidslough Bulwark,Renowned Guild Tabard,93958393
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,Antiseptic-Soaked Dressing,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sinful Aspirant's Plate Warboots,Thunderous Echo Vambraces,Fleshfused Crushers,Ritual Commander's Ring,Ritual Bone Band,Wakener's Frond,Anima Field Emitter,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Stormwind Tabard,45422692
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Dynamo Doomstompers,Shoulderblade Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Ardent Sunstar Signet,Anima Field Emitter,Sinful Gladiator's Sigil of Adaptation,Decadent Nathrian Shawl,Axe of the Deadgrove,Acidslough Bulwark,Tabard of the Wild Hunt,193444166
Wing Commander's Helmet,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Shoulderblade Vambraces,Distorted Construct's Gauntlets,Hyperlight Band,Stitchflesh's Misplaced Signet,Decanter of Anima-Charged Winds,Slimy Consumptive Organ,Grim-Veiled Cape,Gorestained Cleaver,Chyrus's Crest of Hope,,71022135
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Guilewind Stone Talons,Death God's Signet,Band of the Risen Bonelord,Pulsating Stoneheart,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,104544605
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Halkias's Towering Pillars,Dynamo Doomstompers,Hellhound Cuffs,Fleshfused Crushers,Fleshfused Circle,Bloodoath Signet,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,155338666
Wing Commander's Helmet,Azure-Venom Choker,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Slimy Consumptive Organ,Anima Field Emitter,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Sinful Gladiator's Guard,,176186888
Darkfrost Helmet,Charm of Eternal Winter,Vile Butcher's Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Shadowghast Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Hardened Castle Crushers,Ritual Bone Band,Ritual Commander's Ring,Wakener's Frond,Bladedancer's Armor Kit,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Lightbringer,128017736
Ironbark Faceguard,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Cautious Calculation,Stonebark Girdle,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Punishing Loop,Ritual Bone Band,Splintered Heart of Al'ar,Skulker's Wing,Grim-Veiled Cape,Supercollider,Acidslough Bulwark,Stormwind Tabard,175591988
Shadowghast Helm,Charm of Eternal Winter,Epaulettes of Overwhelming Force,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Dynamo Doomstompers,Pit Fighter's Wristguards,Fogweaver Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Overwhelming Power Crystal,Sanguine Vintage,Cowled Batwing Cloak,Gorestained Cleaver,Elysian Sentinel's Aegis,,194270639
Wrathbark Greathelm,Azure-Venom Choker,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Hellhound Cuffs,Distorted Construct's Gauntlets,Arachnid Cipher Ring,Stitchflesh's Misplaced Signet,Spare Meat Hook,Sanguine Vintage,Drape of Twisted Loyalties,Axe of the Deadgrove,Acidslough Bulwark,Stormwind Tabard,93348370
Shadowghast Helm,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,,Breastplate of Brutal Dissonance,Stonebark Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Reality-Shatter Vambraces,Fogweaver Gauntlets,Ring of Perpetual Conflict,Ritual Bone Band,Bladedancer's Armor Kit,Darkmoon Deck: Indomitable,Blighted Margrave's Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Illustrious Guild Tabard,184124373
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Binding of Warped Desires,Legplates of Unholy Frenzy,Valinor's Ground Pounders,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Ritualist's Treasured Ring,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Drape of Twisted Loyalties,Engorged Worm Smasher,Acidslough Bulwark,,160016812
Plague Handler's Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Halkias's Towering Pillars,Errant Crusader's Greaves,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Band of the Risen Bonelord,Viscera of Coalesced Hatred,Decanter of Anima-Charged Winds,Blighted Margrave's Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,,93906817
Shadowghast Helm,Charm of Eternal Winter,Pauldrons of Unleashed Pride,,Breastplate of Cautious Calculation,Waistguard of Expurged Anguish,Sinful Gladiator's Plate Wargreaves,Valinor's Ground Pounders,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Arachnid Cipher Ring,Signet of the False Accuser,Slimy Consumptive Organ,Royal Seal of King Llane,Sinful Gladiator's Cloak,Axe of the Deadgrove,Elysian Sentinel's Aegis,,120035673
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Last Season's Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Gormshell Greaves,Sinful Gladiator's Plate Warboots,Sinful Gladiator's Plate Vambraces,Guilewind Stone Talons,Death God's Signet,Stitchflesh's Misplaced Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Crest of the Legionnaire General,Engorged Worm Smasher,Acidslough Bulwark,Tabard of the Ascended,136030300
Plague Handler's Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Binding of Warped Desires,Endlessly Gluttonous Greaves,Selfless Collector's Warboots,Hellhound Cuffs,Colossal Plate Gauntlets,Arachnid Cipher Ring,Ritual Commander's Ring,Sinful Aspirant's Medallion,Sinful Aspirant's Insignia of Alacrity,Mantle of Manifest Sins,Axe of the Deadgrove,Acidslough Bulwark,,161561608
Selfless Collector's GreatHelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Selfless Collector's Chestplate,Selfless Collector's Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,155356131
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Distorted Construct's Gauntlets,Fleshfused Circle,Ritualist's Treasured Ring,Blood-Spattered Scale,Gluttonous Spike,Cloak of Coordination,Axe of the Deadgrove,Sinful Gladiator's Guard,,93617615
Wrathbark Greathelm,Trailspinner Pendant,Shadowghast Pauldrons,Stylish Black Shirt,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Twisted Witherroot Band,Stitchflesh's Misplaced Signet,Slimy Consumptive Organ,Beating Abomination Core,Drape of Twisted Loyalties,Engorged Worm Smasher,Encrusted Canopic Lid,Argent Crusader's Tabard,104168750
Casque of the Path,Reinforced High Collar,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Girdle of the Soulflayer,Amber-Plated Legguards,Valinor's Ground Pounders,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Death God's Signet,Signet of the False Accuser,Decanter of Anima-Charged Winds,Anima Field Emitter,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,Sunreaver Tabard,162955478
Shadowghast Helm,Trailspinner Pendant,Pauldrons of Unleashed Pride,,Abdominal Securing Chestguard,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Fleshfused Crushers,Death God's Signet,Ardent Sunstar Signet,Splintered Heart of Al'ar,Blood-Spattered Scale,Decadent Nathrian Shawl,Axe of the Deadgrove,Barricade of the Endless Empire,,136273362
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Cautious Calculation,Sinful Gladiator's Plate Girdle,Gormshell Greaves,Selfless Collector's Warboots,Hellhound Cuffs,Fleshfused Crushers,Fleshfused Circle,Stitchflesh's Misplaced Signet,Misfiring Centurion Controller,Gluttonous Spike,Blighted Margrave's Cloak,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Lightbringer,40558377
Shadowghast Helm,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Endlessly Gluttonous Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Guilewind Stone Talons,Ritualist's Treasured Ring,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Dealer Xy'exa's Cape,Supercollider,Elysian Sentinel's Aegis,,174391615
Shadowghast Helm,Charm of Eternal Winter,Selfless Collector's Spaulders,,Breastplate of Fatal Contrivances,Shieldguard's Girdle,Ceremonial Parade Legguards,Greaves of the Rockmender,Armbands of the Construct,Distorted Construct's Gauntlets,Death God's Signet,Sinful Gladiator's Ring,Pulsating Stoneheart,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Sinsmasher,Sylvan Whiteshield,Guild Tabard,167573051
Shadowghast Helm,Charm of Eternal Winter,Vile Butcher's Pauldrons,,Breastplate of Fatal Contrivances,Girdle of the Soulflayer,Shieldguard's Greaves,Selfless Collector's Warboots,Soldier's Stoneband Wristguards,Fogweaver Gauntlets,Ritualist's Treasured Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Sanguine Vintage,Cowled Batwing Cloak,Supercollider,Acidslough Bulwark,Tabard of the Shattered Sun,149674373
Oversized Centurion Helm,Sin Stained Pendant,Vile Butcher's Pauldrons,Brucehide Jersey,Breastplate of the Afterlife,Shadowghast Waistguard,Halkias's Towering Pillars,Charred Saronite Greaves,Vambraces of the Depraved Warden,Guilewind Stone Talons,Fleshfused Circle,Death God's Signet,Anima Field Emitter,Blood-Spattered Scale,Dealer Xy'exa's Cape,Ascended Gladius of Glory,Acidslough Bulwark,,153762732
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,Precious' Ribbon,Abdominal Securing Chestguard,Selfless Collector's Girdle,Endlessly Gluttonous Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Ritualist's Treasured Ring,Anima Field Emitter,Splintered Heart of Al'ar,Mantle of Manifest Sins,Ascended Gladius of Glory,Elysian Sentinel's Aegis,,167224087
Selfless Collector's GreatHelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Muckwallow Stompers,Thunderous Echo Vambraces,Guilewind Stone Talons,Ritual Bone Band,Stitchflesh's Misplaced Signet,Anima Field Emitter,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sinful Gladiator's Xiphos,Barricade of the Endless Empire,Ironforge Tabard,127758093
Wing Commander's Helmet,Noble's Birthstone Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Rampaging Giant's Chestplate,Binding of Warped Desires,Ceremonial Parade Legguards,Dynamo Doomstompers,Hellhound Cuffs,Distorted Construct's Gauntlets,Ritualist's Treasured Ring,Bloodoath Signet,Gluttonous Spike,Inscrutable Quantum Device,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,Renowned Guild Tabard,92927344
