Head,Neck,Shoulders,Shirt,Chest,Waist,Legs,Feet,Wrist,Hands,Ring 1,Ring 2,Trinket 1,Trinket 2,Back,Main Hand,Off Hand,Tabard,character.id
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,,Breastplate of Brutal Dissonance,Binding of Warped Desires,Halkias's Towering Pillars,Dynamo Doomstompers,Soldier's Stoneband Wristguards,Distorted Construct's Gauntlets,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Gladiator's Badge of Ferocity,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of Frost,110762455
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Tailored Officer's Shirt,Sinful Gladiator's Plate Chestplate,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Hyperlight Band,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Medallion,Cowled Batwing Cloak,Sinful Gladiator's Xiphos,Encrusted Canopic Lid,Renowned Guild Tabard,95555033
Wrathbark Greathelm,Sin Stained Pendant,Prankster's Pauldrons,Precious' Ribbon,Breastplate of Fatal Contrivances,Shadowghast Waistguard,Halkias's Towering Pillars,Muckwallow Stompers,Hellhound Cuffs,Colossal Plate Gauntlets,Death God's Signet,Signet of the False Accuser,Blood-Spattered Scale,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,Tabard of the Lightbringer,210177438
Oversized Centurion Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Gormshell Greaves,Warboots of Ruthless Conviction,Reality-Shatter Vambraces,Fleshfused Crushers,Hyperlight Band,Shadowghast Ring,Blood-Spattered Scale,Anima Field Emitter,Cloak of Enveloping Manifestations,Gorestained Cleaver,Encrusted Canopic Lid,,244243332
Wrathbark Greathelm,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,Gorgeous Blouse,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Galvanized Oxxein Legguards,Muckwallow Stompers,Vambraces of the Depraved Warden,Guilewind Stone Talons,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Gluttonous Spike,Dealer Xy'exa's Cape,Gorestained Cleaver,Barricade of the Endless Empire,Army of the Light Tabard,127593735
Wrathbark Greathelm,Trailspinner Pendant,Vile Butcher's Pauldrons,Precious' Ribbon,Abdominal Securing Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fleshfused Crushers,Death God's Signet,Entwined Gorger Tendril,Inscrutable Quantum Device,Anima Field Emitter,Cowled Batwing Cloak,Engorged Worm Smasher,Acidslough Bulwark,Stormwind Tabard,226096042
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Fatal Contrivances,Fused Bone Greatbelt,Halkias's Towering Pillars,Sinful Gladiator's Plate Warboots,Vambraces of the Depraved Warden,Distorted Construct's Gauntlets,Ritual Bone Band,Death God's Signet,Blood-Spattered Scale,Slimy Consumptive Organ,Blighted Margrave's Cloak,Engorged Worm Smasher,Sylvan Whiteshield,,237280317
Darkfrost Helmet,Noble's Birthstone Pendant,Pauldrons of Unleashed Pride,,Rampaging Giant's Chestplate,Scarred Bloodbound Girdle,Shadowghast Greaves,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritual Bone Band,Stitchflesh's Misplaced Signet,Anima Field Emitter,Stone Legion Heraldry,Cowled Batwing Cloak,Engorged Worm Smasher,Encrusted Canopic Lid,,147900568
Shadowghast Helm,Sin Stained Pendant,Epaulettes of Overwhelming Force,,Breastplate of Otherworldly Influence,Binding of Warped Desires,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Hellhound Cuffs,Guilewind Stone Talons,Most Regal Signet of Sire Denathrius,Arachnid Cipher Ring,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Reaver of Renewed Resolve,Acidslough Bulwark,Guild Tabard,107578790
Wing Commander's Helmet,Sin Stained Pendant,Prankster's Pauldrons,,Abdominal Securing Chestguard,Shadowghast Waistguard,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Distorted Construct's Gauntlets,Stitchflesh's Misplaced Signet,Death God's Signet,Anima Field Emitter,Inscrutable Quantum Device,Cloak of Enveloping Manifestations,Axe of the Deadgrove,Chyrus's Crest of Hope,,166849639
Wrathbark Greathelm,Muckformed Chain Choker,Shadowghast Pauldrons,Precious' Ribbon,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Colossal Plate Gauntlets,Death God's Signet,Most Regal Signet of Sire Denathrius,Anima Field Emitter,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,Chyrus's Crest of Hope,Tabard of the Lightbringer,115463739
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,Red Linen Shirt,Breastplate of Otherworldly Influence,Fused Bone Greatbelt,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Death God's Signet,Blood-Spattered Scale,Decanter of Anima-Charged Winds,Dealer Xy'exa's Cape,Sophisticated Bonecracker,Acidslough Bulwark,,182782738
Sinful Gladiator's Plate Helm,Sin Stained Pendant,Shadowghast Pauldrons,White Tuxedo Shirt,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Guilewind Stone Talons,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Sinful Gladiator's Insignia of Alacrity,Sinful Aspirant's Insignia of Alacrity,Sinful Gladiator's Drape,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of the Lightbringer,237564468
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Fatal Contrivances,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Muckwallow Stompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Ritual Bone Band,Death God's Signet,Darkmoon Deck: Indomitable,Anima Field Emitter,Mantle of Manifest Sins,Sophisticated Bonecracker,Encrusted Canopic Lid,Tabard of the Explorer,193813673
Shadowghast Helm,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Pit Fighter's Wristguards,Fleshfused Crushers,Arachnid Cipher Ring,Band of the Risen Bonelord,Sinful Aspirant's Medallion,Sinful Aspirant's Insignia of Alacrity,Cowled Batwing Cloak,Supercollider,Encrusted Canopic Lid,,182364865
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Breastplate of Otherworldly Influence,Waistguard of Expurged Anguish,Gormshell Greaves,Stoneguard Attendant's Boots,Reality-Shatter Vambraces,Colossal Plate Gauntlets,Ritual Bone Band,Stitchflesh's Misplaced Signet,Bladedancer's Armor Kit,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Duskwarder Shield,,133303515
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Fused Bone Greatbelt,Gormshell Greaves,Sabatons of the Rushing Juggernaut,Reality-Shatter Vambraces,Fogweaver Gauntlets,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Gluttonous Spike,Inscrutable Quantum Device,Crest of the Legionnaire General,Axe of the Deadgrove,Elysian Sentinel's Aegis,Purple Trophy Tabard of the Illidari,158311249
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Abdominal Securing Chestguard,Waistguard of Expurged Anguish,Galvanized Oxxein Legguards,Warboots of Ruthless Conviction,Thunderous Echo Vambraces,Fogweaver Gauntlets,Fleshfused Circle,Hyperlight Band,Inscrutable Quantum Device,Slimy Consumptive Organ,Dealer Xy'exa's Cape,Sinsmasher,Encrusted Canopic Lid,,166629786
Wrathbark Greathelm,Charm of Eternal Winter,Shadowghast Pauldrons,Fashionable Undershirt,Breastplate of Fatal Contrivances,Waistguard of Expurged Anguish,Gormshell Greaves,Warboots of Ruthless Conviction,Hellhound Cuffs,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Hyperlight Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Elysian Sentinel's Aegis,Tabard of the Lightbringer,211942967
Darkfrost Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,,Breastplate of Brutal Dissonance,Shadowghast Waistguard,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Sinful Gladiator's Ring,Bargast's Leash,Macabre Sheet Music,Cowled Batwing Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of Frost,196695440
Shadowghast Helm,Sinful Gladiator's Amulet,Sinful Gladiator's Plate Pauldrons,Wraps of the Blood-Soaked Brawler,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Hellhound Cuffs,Sinful Gladiator's Plate Handguards,Death God's Signet,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Sinsmasher,Sinful Gladiator's Guard,Knight's Colors,67724994
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Scarred Bloodbound Girdle,Endlessly Gluttonous Greaves,Errant Crusader's Greaves,Thunderous Echo Vambraces,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Decanter of Anima-Charged Winds,Sanguine Vintage,Drape of Twisted Loyalties,Gorestained Cleaver,Barricade of the Endless Empire,,150503522
Wing Commander's Helmet,Sinful Gladiator's Necklace,Prankster's Pauldrons,Master Builder's Shirt,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Endlessly Gluttonous Greaves,Sinful Gladiator's Plate Warboots,Reality-Shatter Vambraces,Guilewind Stone Talons,Sinful Gladiator's Ring,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Anima Field Emitter,Sinful Gladiator's Drape,Axe of the Deadgrove,Encrusted Canopic Lid,,209826807
Diadem of Imperious Desire,Charm of Eternal Winter,Unyielding Combatant's Pauldrons,,Breastplate of Fatal Contrivances,Stoic Guardsman's Belt,Halkias's Towering Pillars,Dynamo Doomstompers,Vambraces of the Depraved Warden,Colossal Plate Gauntlets,Stitchflesh's Misplaced Signet,Shadowghast Ring,Anima Field Emitter,Gluttonous Spike,Blighted Margrave's Cloak,Axe of the Deadgrove,Barricade of the Endless Empire,,180605887
Sinful Gladiator's Plate Helmet,Sinful Gladiator's Necklace,Sinful Gladiator's Plate Pauldrons,,Sinful Gladiator's Plate Chestguard,Shadowghast Waistguard,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Soldier's Stoneband Wristguards,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Ardent Sunstar Signet,Blood-Spattered Scale,Inscrutable Quantum Device,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,,99250043
Diadem of Imperious Desire,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Dynamo Doomstompers,Pit Fighter's Wristguards,Distorted Construct's Gauntlets,Hyperlight Band,Bloodoath Signet,Sinful Gladiator's Insignia of Alacrity,Blood-Spattered Scale,Mantle of Manifest Sins,Sophisticated Bonecracker,Sinful Gladiator's Guard,Renowned Guild Tabard,196653971
Wing Commander's Helmet,Charm of Eternal Winter,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Stoic Guardsman's Belt,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fogweaver Gauntlets,Arachnid Cipher Ring,Hyperlight Band,Blood-Spattered Scale,Splintered Heart of Al'ar,Dealer Xy'exa's Cape,Legacy of Thunder,Barricade of the Endless Empire,,175046183
Darkfrost Helmet,Sinful Gladiator's Necklace,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Halkias's Towering Pillars,Selfless Collector's Warboots,Reality-Shatter Vambraces,Fogweaver Gauntlets,Signet of the False Accuser,Death God's Signet,Inscrutable Quantum Device,Sinful Gladiator's Insignia of Alacrity,Shroud of the Penitent,Sophisticated Bonecracker,Sinful Gladiator's Guard,Argent Crusader's Tabard,146275089
Wrathbark Greathelm,Sin Stained Pendant,Pauldrons of Unleashed Pride,Irradiated Undercoat,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Legplates of Unholy Frenzy,Muckwallow Stompers,Thunderous Echo Vambraces,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Shadowghast Ring,Slimy Consumptive Organ,Decanter of Anima-Charged Winds,Cloak of Enveloping Manifestations,Sophisticated Bonecracker,Acidslough Bulwark,,174402863
Wrathbark Greathelm,Sin Stained Pendant,Vile Butcher's Pauldrons,Precious' Ribbon,Breastplate of Brutal Dissonance,Scarred Bloodbound Girdle,Gormshell Greaves,Shadowghast Sabatons,Soldier's Stoneband Wristguards,Guilewind Stone Talons,Signet of the False Accuser,Stitchflesh's Misplaced Signet,Overwhelming Power Crystal,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Tabard of the 7th Legion,168998405
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Dynamo Doomstompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Arachnid Cipher Ring,Death God's Signet,Inscrutable Quantum Device,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Acidslough Bulwark,Lightforged Tabard,185697392
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Entwined Gorger Tendril,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Splintered Heart of Al'ar,Cowled Batwing Cloak,Sophisticated Bonecracker,Encrusted Canopic Lid,,177173493
Shadowghast Helm,Charm of Eternal Winter,Prankster's Pauldrons,,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Galvanized Oxxein Legguards,Stoneguard Attendant's Boots,Thunderous Echo Vambraces,Sinful Gladiator's Plate Gauntlets,Sinful Gladiator's Ring,Bloodoath Signet,Inscrutable Quantum Device,Sinful Aspirant's Insignia of Alacrity,Dealer Xy'exa's Cape,Sinsmasher,Sinful Gladiator's Guard,,165287936
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,Stylish Black Shirt,Abdominal Securing Chestguard,Girdle of the Soulflayer,Halkias's Towering Pillars,Muckwallow Stompers,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Signet of the False Accuser,Splintered Heart of Al'ar,Blood-Spattered Scale,Cloak of Enveloping Manifestations,Engorged Worm Smasher,Barricade of the Endless Empire,,166352463
Shadowghast Helm,Trailspinner Pendant,Epaulettes of Overwhelming Force,,Sinful Gladiator's Plate Chestguard,Fused Bone Greatbelt,Halkias's Towering Pillars,Errant Crusader's Greaves,Shoulderblade Vambraces,Guilewind Stone Talons,Bloodoath Signet,Most Regal Signet of Sire Denathrius,Splintered Heart of Al'ar,Darkmoon Deck: Indomitable,Cowled Batwing Cloak,Engorged Worm Smasher,Chyrus's Crest of Hope,Tabard of the Dark Iron,196031275
Wing Commander's Helmet,Trailspinner Pendant,Shadowghast Pauldrons,,Breastplate of Cautious Calculation,Scarred Bloodbound Girdle,Gormshell Greaves,Dynamo Doomstompers,Vambraces of the Depraved Warden,Fogweaver Gauntlets,Signet of the False Accuser,Ritual Bone Band,Viscera of Coalesced Hatred,Blood-Spattered Scale,Blighted Margrave's Cloak,Engorged Worm Smasher,Acidslough Bulwark,,155140521
Shadowghast Helm,Muckformed Chain Choker,Selfless Collector's Spaulders,Precious' Ribbon,Breastplate of Brutal Dissonance,Stoic Guardsman's Belt,Gormshell Greaves,Dynamo Doomstompers,Thunderous Echo Vambraces,Fogweaver Gauntlets,Entwined Gorger Tendril,Stitchflesh's Misplaced Signet,Blood-Spattered Scale,Viscera of Coalesced Hatred,Dealer Xy'exa's Cape,Axe of the Deadgrove,Acidslough Bulwark,Illustrious Guild Tabard,81433540
Wing Commander's Helmet,Sin Stained Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Otherworldly Influence,Shadowghast Waistguard,Legplates of Unholy Frenzy,Errant Crusader's Greaves,Hellhound Cuffs,Fallen Templar's Gauntlets,Band of the Risen Bonelord,Signet of the False Accuser,Stone Legion Heraldry,Gluttonous Spike,Cowled Batwing Cloak,Supercollider,Barricade of the Endless Empire,,45002075
Shadowghast Helm,Sin Stained Pendant,Prankster's Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Errant Crusader's Greaves,Reality-Shatter Vambraces,Fallen Templar's Gauntlets,Hyperlight Band,Ritual Bone Band,Splintered Heart of Al'ar,Blood-Spattered Scale,Blighted Margrave's Cloak,Axe of the Deadgrove,Sinful Gladiator's Guard,Tabard of Summer Flames,144130261
Wing Commander's Helmet,Sin Stained Pendant,Shadowghast Pauldrons,Artisan Officer's Shirt,Breastplate of Cautious Calculation,Stoic Guardsman's Belt,Halkias's Towering Pillars,Muckwallow Stompers,Pit Fighter's Wristguards,Colossal Plate Gauntlets,Ritual Bone Band,Signet of the False Accuser,Anima Field Emitter,Blood-Spattered Scale,Cowled Batwing Cloak,Sophisticated Bonecracker,Barricade of the Endless Empire,Renowned Guild Tabard,74086767
Darkfrost Helmet,Sin Stained Pendant,Shadowghast Pauldrons,,Sinful Gladiator's Plate Chestguard,Scarred Bloodbound Girdle,Sinful Gladiator's Plate Legguards,Errant Crusader's Greaves,Thunderous Echo Vambraces,Sinful Gladiator's Plate Handguards,Hyperlight Band,Ardent Sunstar Signet,Blood-Spattered Scale,Anima Field Emitter,Decadent Nathrian Shawl,Engorged Worm Smasher,Acidslough Bulwark,,183958955
Wrathbark Greathelm,Noble's Birthstone Pendant,Shadowghast Pauldrons,,Breastplate of Otherworldly Influence,Girdle of the Soulflayer,Halkias's Towering Pillars,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Stitchflesh's Misplaced Signet,Ritual Bone Band,Blood-Spattered Scale,Sinful Gladiator's Insignia of Alacrity,Blighted Margrave's Cloak,Axe of the Deadgrove,Acidslough Bulwark,,189585324
Wrathbark Greathelm,Sinful Gladiator's Necklace,Shadowghast Pauldrons,Master Builder's Shirt,Sinful Gladiator's Plate Chestguard,Waistguard of Expurged Anguish,Ceremonial Parade Legguards,Stoneguard Attendant's Boots,Sinful Gladiator's Plate Vambraces,Sinful Gladiator's Plate Handguards,Stitchflesh's Misplaced Signet,Ardent Sunstar Signet,Sinful Aspirant's Medallion,Sinful Aspirant's Emblem,Cowled Batwing Cloak,Sinsmasher,Sinful Gladiator's Guard,,154704488
Shadowghast Helm,Sin Stained Pendant,Pauldrons of Unleashed Pride,,Abdominal Securing Chestguard,Stonebark Girdle,Galvanized Oxxein Legguards,Errant Crusader's Greaves,Hellhound Cuffs,Fleshfused Crushers,Arachnid Cipher Ring,Ring of Perpetual Conflict,Anima Field Emitter,Blood-Spattered Scale,Drape of Twisted Loyalties,Engorged Worm Smasher,Sinful Gladiator's Guard,Renowned Guild Tabard,155711006
Shadowghast Helm,Trailspinner Pendant,Unyielding Combatant's Pauldrons,,Breastplate of Fatal Contrivances,Binding of Warped Desires,Legplates of Unholy Frenzy,Sabatons of the Rushing Juggernaut,Vambraces of the Depraved Warden,Fleshfused Crushers,Death God's Signet,Stitchflesh's Misplaced Signet,Sanguine Vintage,Viscera of Coalesced Hatred,Blighted Margrave's Cloak,Gorestained Cleaver,Encrusted Canopic Lid,Renowned Guild Tabard,153078382
Wrathbark Greathelm,Sin Stained Pendant,Shadowghast Pauldrons,Red Lumberjack Shirt,Breastplate of Fatal Contrivances,Binding of Warped Desires,Gormshell Greaves,Errant Crusader's Greaves,Vambraces of the Depraved Warden,Fleshfused Crushers,Ritualist's Treasured Ring,Death God's Signet,Decanter of Anima-Charged Winds,Splintered Heart of Al'ar,Cloak of Enveloping Manifestations,Gorestained Cleaver,Acidslough Bulwark,Tabard of the Ascended,124508002
Wrathbark Greathelm,Sinful Gladiator's Necklace,Epaulettes of Overwhelming Force,Irradiated Undercoat,Sinful Gladiator's Plate Chestguard,Sinful Gladiator's Plate Greatbelt,Shadowghast Greaves,Errant Crusader's Greaves,Sinful Gladiator's Plate Vambraces,Fleshfused Crushers,Most Regal Signet of Sire Denathrius,Sinful Gladiator's Ring,Splintered Heart of Al'ar,Blood-Spattered Scale,Crest of the Legionnaire General,Axe of the Deadgrove,Encrusted Canopic Lid,Orgrimmar Tabard,118892244
