character.id,profile.name,profile.slug,score
170361972,Вайздрауд,gordunni,1053.0
157078112,Nubert,stormscale,1045.2
169736887,Фийка,gordunni,
170123188,Helige,stormreaver,1038.2
159281279,Schockadin,burning-legion,1131.3
162403394,Qlikshield,zirkel-des-cenarius,805.8
165834377,Бондомонд,gordunni,1275.2
69338478,Ireliana,shattrath,441.0
183568768,Холлихелл,soulflayer,930.3
175005519,Clarrizard,silvermoon,937.5
170039370,Akilim,eldrethalas,843.0
96562855,Тэоин,blackscar,817.7
74157841,Vakuum,blackmoore,608.4
154176864,Sylváná,blackhand,777.3
176169777,Skinerop,burning-legion,1686.4
178973871,Iowene,silvermoon,890.7
111052905,Lisburn,eonar,986.3
114666805,Høuarï,hyjal,1099.1
160376083,Darthdaniel,alleria,921.3
155434096,Паладиннер,eversong,895.5
143729215,Rõxas,blackmoore,712.3
247263227,Миртая,gordunni,966.5
111201492,Alliyah,nozdormu,846.8
109856731,Avizura,blackrock,1410.2
131334490,Scyld,defias-brotherhood,1002.7
209413336,Айронхайд,soulflayer,728.1
138071831,Kenyeke,blackrock,1076.6
167589613,Ðø,die-ewige-wacht,774.6
162452691,Ericdrage,silvermoon,900.0
162412748,Тайдэ,howling-fjord,911.3
165155620,Lêgain,silvermoon,1050.1
128931743,Myu,shattrath,720.8
171168416,Septaunella,pozzo-delleternità,787.8
175419048,Драгнирр,howling-fjord,954.3
156761006,Hibikichan,antonidas,963.1
145469438,Тесэй,gordunni,797.3
159967993,Zerald,garrosh,760.7
162194183,Jeboté,arygos,569.3
237896381,Ярослава,borean-tundra,1039.7
160001994,Lillythielle,garrosh,726.0
244032512,Инестра,gordunni,1015.3
168422098,Zeìko,archimonde,729.1
166393101,Tharkus,blackmoore,901.2
169672621,Laddgreta,tarren-mill,616.4
160233983,Droggo,kirin-tor,760.9
162323567,Ribeyesteak,teldrassil,463.7
123394120,Farlander,garrosh,338.2
156097604,Eldimir,perenolde,693.4
175810099,Paloushe,dalaran,1534.9
92465684,Демопал,fordragon,1410.5
143030799,Lostkame,tarren-mill,1428.7
139653617,Bolívar,magtheridon,1495.0
145355935,Нурфанон,gordunni,1176.1
202592218,Мишаефремов,azuregos,1148.1
177398560,Gracks,ragnaros,456.8
152787900,Kori,ragnaros,1136.6
103901206,Теемный,gordunni,1138.7
194095957,Penetrus,silvermoon,1136.9
63211228,Bragi,aggramar,1130.4
131858324,Eugeõ,hyjal,1084.0
133289054,Babadins,ravencrest,1013.5
153956700,Baelmon,antonidas,805.5
71117116,Zecesption,blackmoore,1236.9
181483376,Андуралус,gordunni,1169.2
174649379,Thondiol,azjolnerub,970.3
171894395,Albus,darkspear,1129.5
164647326,Faler,bronzebeard,883.7
73457892,Lachriz,eredar,1003.9
177875802,Morgenkoger,silvermoon,961.9
164175686,Holyparsing,kazzak,1037.7
99282011,Louac,varimathras,1182.3
160310746,Tóxíc,silvermoon,1038.6
122469464,Thondorin,blackmoore,960.9
108483455,Foxyý,blackhand,990.9
143737686,Shadith,drakthul,952.9
132054629,Kabu,nozdormu,778.6
181668374,Онливанн,gordunni,1036.4
242885936,Моруа,gordunni,872.3
225964174,Barlan,sylvanas,1060.7
79979616,Àlb,frostwolf,1122.6
134200391,Chuipàlà,sargeras,1206.5
191456001,Bubblícíous,frostmane,934.7
155146542,Elhdruin,pozzo-delleternità,994.6
217470555,Rezta,sylvanas,885.1
167061908,Rúbicante,blackmoore,818.0
189207154,Тайваня,ashenvale,1180.5
98759348,Latani,antonidas,846.2
118745969,Kassarus,aggramar,916.0
172280326,Jaggerjacka,sinstralis,835.1
155645312,Паллада,deathguard,761.1
195130069,Palladin,outland,1119.9
166427290,Sonica,blackmoore,701.8
184951344,Bellatje,silvermoon,1007.1
137099545,Kordâl,defias-brotherhood,849.0
174410499,Phèlan,die-aldor,774.7
137346690,Palosos,blackmoore,998.5
68738983,Ícè,shattrath,898.3
102719735,Earlgrey,terenas,875.2
192823712,Rammelsurium,aegwynn,892.1
243553536,Клофард,gordunni,756.4
157613396,Batul,rexxar,757.3
69100636,Saguru,shattrath,743.2
169773666,Holypurge,malfurion,1013.2
136492320,Lightbrînger,kazzak,941.7
163042672,Silentshine,tarren-mill,985.2
195546335,Николяслуцк,eversong,827.8
62659543,Vachtas,kazzak,826.3
154641796,Thorkon,teldrassil,673.2
107524986,Molox,archimonde,810.2
158608123,Lapsidine,antonidas,933.6
88245594,Gwaelion,antonidas,665.9
158027141,Illeniel,teldrassil,742.9
151360935,Lowless,kazzak,978.3
149034063,Göttergott,blackrock,1298.6
137105514,Денния,soulflayer,1311.5
215318165,Fash,sylvanas,1273.1
134791701,Dinnadan,burning-legion,1147.6
192769228,Zucalarucca,outland,1297.2
156196167,Autismmeistr,ravencrest,1166.2
188592407,Afkwin,elune,1142.7
