profile.id,profile.name,profile.realm.slug,specialization.id,faction.type
167799245,Rykei,malfurion,66,ALLIANCE
68799256,Vallë,ravencrest,66,ALLIANCE
113572063,Jaladine,mazrigos,66,ALLIANCE
188921030,Denveger,silvermoon,66,ALLIANCE
45816692,Doktorek,blades-edge,66,HORDE
64114951,Sulliman,kazzak,66,HORDE
155155301,Nichtenancy,blackhand,66,HORDE
157578518,Violating,blackhand,66,HORDE
155520553,Ochotona,mazrigos,66,ALLIANCE
54225112,Duffadin,lightbringer,66,ALLIANCE
184124373,Foretold,outland,66,ALLIANCE
157489989,Zeelo,blackhand,66,ALLIANCE
114033203,Xravion,mazrigos,66,HORDE
185663836,Fuegoleonn,nemesis,66,ALLIANCE
244527522,Хоулибоп,soulflayer,66,HORDE
176017117,Solamen,kazzak,66,HORDE
175018541,Maraad,lightbringer,66,ALLIANCE
196498655,Eykko,kazzak,66,HORDE
193422416,Octavyã,hyjal,66,HORDE
165658330,Jyumi,drakthul,66,HORDE
194200629,Zenulas,archimonde,66,HORDE
241368728,Ененджизер,lich-king,66,HORDE
176309176,Psydoorf,burning-legion,66,ALLIANCE
177618930,Kirneh,twisting-nether,66,HORDE
197385781,Triqzteh,kazzak,66,HORDE
161780229,Reínhardt,lightbringer,66,ALLIANCE
176948395,Dkmadsenn,lightbringer,66,HORDE
118072551,Laurelin,nordrassil,66,HORDE
106865611,Aìrbàg,ysondre,66,HORDE
124066849,Langbart,alexstrasza,66,ALLIANCE
143874171,Superflytnt,lightbringer,66,HORDE
161709847,Vanadiis,doomhammer,66,ALLIANCE
162313488,Andíra,silvermoon,66,ALLIANCE
156965162,Khrone,ravencrest,66,ALLIANCE
168876761,Shähkä,hyjal,66,HORDE
188927309,Boxarbengan,outland,66,ALLIANCE
244281072,Квадрис,gordunni,66,ALLIANCE
157755231,Malliki,blackhand,66,HORDE
175761975,Smon,lightbringer,66,HORDE
68967324,Blaser,lightbringer,66,ALLIANCE
141757682,Fiddodido,zenedar,66,HORDE
124231881,Sankevhal,uldaman,66,ALLIANCE
76866964,Farcadere,nemesis,66,HORDE
167774787,Lebouf,darkmoon-faire,66,ALLIANCE
123563803,Heiskuk,frostwhisper,66,HORDE
110266583,Judgeqt,draenor,66,HORDE
151600290,Melornfoldra,argent-dawn,66,HORDE
161328347,Duxamel,tarren-mill,66,HORDE
114212053,Organyx,mazrigos,66,HORDE
96929233,Вентереон,gordunni,66,ALLIANCE
166686656,Endeavor,die-aldor,66,ALLIANCE
165962447,Àcci,blackrock,66,HORDE
178129756,Ilhitmanll,silvermoon,66,ALLIANCE
163645104,Namastira,silvermoon,66,ALLIANCE
157529106,Kimatii,ysondre,66,HORDE
99459065,Karalian,varimathras,66,ALLIANCE
151779368,Sùnan,kirin-tor,66,ALLIANCE
145763524,Böördii,bloodscalp,66,HORDE
77835255,Rinse,lightbringer,66,ALLIANCE
165929709,Akmira,argent-dawn,66,ALLIANCE
159772160,Frippala,mazrigos,66,HORDE
148737528,Lan,magtheridon,66,ALLIANCE
154788344,Rhondarar,antonidas,66,ALLIANCE
145849552,Jhonnycrash,pozzo-delleternità,66,ALLIANCE
122408607,Rmdpala,twisting-nether,66,HORDE
178655036,Kaÿ,pozzo-delleternità,66,ALLIANCE
159385217,Prôxx,rexxar,66,HORDE
175346570,Windsor,lightbringer,66,ALLIANCE
74087406,Juraan,blackmoore,66,HORDE
197588686,Illumînus,silvermoon,66,ALLIANCE
161797656,Pinkforever,rashgarroth,66,ALLIANCE
163459071,Zabito,argent-dawn,66,ALLIANCE
123825700,Fairpala,blackhand,66,HORDE
185079703,Neldwegh,silvermoon,66,ALLIANCE
156563338,Yeetus,ravencrest,66,HORDE
136363258,Negomi,blackmoore,66,HORDE
177185782,Holyforged,burning-legion,66,ALLIANCE
195680439,Arental,kazzak,66,HORDE
134315532,Braladinn,khadgar,66,ALLIANCE
117373885,Sankwhey,emerald-dream,66,ALLIANCE
141457881,Nêll,khaz-modan,66,ALLIANCE
175892083,Dalinnar,ragnaros,66,HORDE
92070450,Briserus,kaelthas,66,ALLIANCE
241411160,Невернный,booty-bay,66,HORDE
164760741,Aelmar,tarren-mill,66,ALLIANCE
101670133,Vadryxis,dentarg,66,HORDE
196435634,Damecyrael,hyjal,66,HORDE
156162021,Gleef,kazzak,66,HORDE
193762319,Хамуске,ashenvale,66,HORDE
176897236,Chewyberry,lightbringer,66,HORDE
194573106,Nathaelis,hyjal,66,HORDE
42980407,Родька,blackscar,66,ALLIANCE
157788321,Lèctus,stormscale,66,HORDE
108200094,Mudija,ravencrest,66,ALLIANCE
127221546,Sealofbadass,trollbane,66,ALLIANCE
34739837,Archîlles,lightbringer,66,ALLIANCE
166815153,Juis,tarren-mill,66,HORDE
129031034,Nervie,drakthul,66,HORDE
176095129,Biergut,neptulon,66,ALLIANCE
3157237,Concrath,anetheron,66,ALLIANCE
176274509,Krogathia,twisting-nether,66,HORDE
139750519,Wolfhéart,thrall,66,HORDE
119574490,Laefus,burning-legion,66,HORDE
150635662,Malice,lightbringer,66,ALLIANCE
196578439,Mcr,nemesis,66,HORDE
158059791,Fpala,blackmoore,66,ALLIANCE
2995072,Evilbane,lightbringer,66,ALLIANCE
153559158,Absolomb,frostwhisper,66,HORDE
162152707,Johnjoe,lightbringer,66,ALLIANCE
133339089,Egrofnori,lightbringer,66,ALLIANCE
133285567,Fictional,lightbringer,66,ALLIANCE
68749373,Cristi,ravencrest,66,ALLIANCE
163105833,Shîrdæn,teldrassil,66,HORDE
96525066,Reloua,stormscale,66,HORDE
163100057,Bubblemaster,lightbringer,66,ALLIANCE
138140859,Kazusa,twisting-nether,66,HORDE
177020814,Shinybulwark,lightbringer,66,ALLIANCE
176614912,Shieldlight,twisting-nether,66,HORDE
114232478,Deusfake,mazrigos,66,HORDE
143046799,Frstt,argent-dawn,66,HORDE
170240477,Extrachub,darksorrow,66,ALLIANCE
167411572,Bigsimpguy,blackmoore,66,ALLIANCE
113154059,Sacredcow,mazrigos,66,HORDE
247448030,Кэдон,gordunni,66,ALLIANCE
162604753,Гленфид,galakrond,66,ALLIANCE
163060284,Overt,mazrigos,66,ALLIANCE
189464321,Drmooh,chamber-of-aspects,66,HORDE
242490931,Лиадрейн,soulflayer,66,HORDE
196380649,Stän,silvermoon,66,ALLIANCE
73898823,Crêmatoria,antonidas,66,ALLIANCE
165434590,Dondor,argent-dawn,66,ALLIANCE
186630633,Qtmilly,silvermoon,66,ALLIANCE
169399343,Youknowwhog,stormreaver,66,HORDE
80390799,Mkoll,dragonmaw,66,ALLIANCE
166072227,Riain,outland,66,ALLIANCE
159457202,Kippy,ravencrest,66,ALLIANCE
106114900,Xopides,archimonde,66,HORDE
88738631,Matelina,sanguino,66,ALLIANCE
171490413,Celene,cthun,66,ALLIANCE
166794767,Zuby,ravenholdt,66,ALLIANCE
245074253,Лайтревендж,gordunni,66,ALLIANCE
188964864,Ториндубощих,gordunni,66,ALLIANCE
183571804,Akéchi,hyjal,66,HORDE
158009378,Nilythira,argent-dawn,66,ALLIANCE
168998405,Sarthigas,dalaran,66,ALLIANCE
193624474,Lumikus,silvermoon,66,ALLIANCE
243642040,Янесырок,gordunni,66,ALLIANCE
