,profile.name,profile.realm.slug,specialization.id
1,Богал,azuregos,66
0,Wolfssatan,antonidas,66
1,Nainpaladin,voljin,66
3,Eledwards,suramar,66
2,Umutten,silvermoon,66
3,Zäzou,elune,66
1,Rstudios,hyjal,66
1,Zäneri,silvermoon,66
3,Joamn,burning-legion,66
4,Тесиняка,gordunni,66
2,Martinuther,dun-modr,66
1,Верриммор,howling-fjord,66
4,Érias,dalaran,66
4,Boukitos,drekthar,66
1,Bully,uldum,66
4,Ninosplinter,pozzo-delleternità,66
4,Bricefa,dalaran,66
2,Саффирин,gordunni,66
0,Maynea,dalaran,66
3,Нартбер,eversong,66
1,Hölÿshït,archimonde,66
0,Péremptoire,hyjal,66
2,Seakex,ragnaros,66
0,Ohlgren,frostmane,66
3,Divinebubble,draenor,66
0,Staviik,silvermoon,66
1,Скарбрандт,soulflayer,66
3,Exizor,tarren-mill,66
3,Rammelsurium,aegwynn,66
0,Asphodel,burning-legion,66
4,Cangurón,dun-modr,66
0,Tinata,hellfire,66
3,Bubblewoman,arathor,66
4,Военврач,blackscar,66
1,Peludinz,zuljin,66
3,Cyãnne,hyjal,66
0,Biscu,outland,66
3,Buschkind,nethersturm,66
1,Dedovahkiin,outland,66
4,Раггнар,goldrinn,66
0,Exanima,pozzo-delleternità,66
4,Geten,argent-dawn,66
1,ßrolii,culte-de-la-rive-noire,66
2,Autismmeistr,ravencrest,66
2,Luxdom,pozzo-delleternità,66
2,Kitesh,argent-dawn,66
2,Aleaume,kirin-tor,66
2,Zaddik,zirkel-des-cenarius,66
1,Анфет,gordunni,66
3,Мечтаидиота,fordragon,66
1,Dranapal,dalaran,66
3,Arfden,magtheridon,66
1,Asheyrà,hyjal,66
2,Hatoryo,ysondre,66
2,Глауз,blackscar,66
2,Пакмен,galakrond,66
3,Bubblenîght,blackmoore,66
0,Николяслуцк,eversong,66
0,Бэййли,howling-fjord,66
3,Exylia,archimonde,66
1,Liliette,hyjal,66
0,Mabels,silvermoon,66
1,Самогончик,blackscar,66
2,Paladion,die-silberne-hand,66
0,Aritas,silvermoon,66
